Load earlier flights,,,,,,,Brooksville Tampa Bay Regional Airport(QSK/KBKV)
Loading...,,,,,,,Brooksville Tampa Bay Regional Airport(QSK/KBKV)
"Sorry, we don't have any information about flights for this airport",,,,,,,Brooksville Tampa Bay Regional Airport(QSK/KBKV)
Landed 18:39 18:10  Brooksville(QSK) C172N60395 -,,,,,,,Brooksville Tampa Bay Regional Airport(QSK/KBKV)
Landed 21:16 20:11  St. Petersburg(PIE) B350N263BA -,,,,,,,Brooksville Tampa Bay Regional Airport(QSK/KBKV)
Landed 20:59 21:02  Orlando(ORL) C172N945MC -,,,,,,,Brooksville Tampa Bay Regional Airport(QSK/KBKV)
Diverted to  CLW  08:35  Tampa(CLW) C172N4776E -,,,,,,,Brooksville Tampa Bay Regional Airport(QSK/KBKV)
Landed 08:58 09:08  Naples(APF) SR22N365AF -,,,,,,,Brooksville Tampa Bay Regional Airport(QSK/KBKV)
Landed 13:32 13:31  Lakeland(LAL) S22TN17KD -,,,,,,,Brooksville Tampa Bay Regional Airport(QSK/KBKV)
Landed 17:23 17:49  West Palm Beach(PBI) E55PN334GV -,,,,,,,Brooksville Tampa Bay Regional Airport(QSK/KBKV)
Canceled  18:53  Houston(HOU) LJ35N91GJ -,,,,,,,Brooksville Tampa Bay Regional Airport(QSK/KBKV)
Landed 01:21 00:50  West Palm Beach(PBI) C172N60395 -,,,,,,,Brooksville Tampa Bay Regional Airport(QSK/KBKV)
Landed 18:39 18:10  Brooksville(QSK) C172N60395 -,,,,,,,Brooksville Tampa Bay Regional Airport(QSK/KBKV)
Landed 21:16 20:11  St. Petersburg(PIE) B350N263BA -,,,,,,,Brooksville Tampa Bay Regional Airport(QSK/KBKV)
Landed 20:59 21:02  Orlando(ORL) C172N945MC -,,,,,,,Brooksville Tampa Bay Regional Airport(QSK/KBKV)
Diverted to  CLW  08:35  Tampa(CLW) C172N4776E -,,,,,,,Brooksville Tampa Bay Regional Airport(QSK/KBKV)
Landed 08:58 09:08  Naples(APF) SR22N365AF -,,,,,,,Brooksville Tampa Bay Regional Airport(QSK/KBKV)
Landed 13:32 13:31  Lakeland(LAL) S22TN17KD -,,,,,,,Brooksville Tampa Bay Regional Airport(QSK/KBKV)
Landed 17:23 17:49  West Palm Beach(PBI) E55PN334GV -,,,,,,,Brooksville Tampa Bay Regional Airport(QSK/KBKV)
Canceled  18:53  Houston(HOU) LJ35N91GJ -,,,,,,,Brooksville Tampa Bay Regional Airport(QSK/KBKV)
Landed 01:21 00:50  West Palm Beach(PBI) C172N60395 -,,,,,,,Brooksville Tampa Bay Regional Airport(QSK/KBKV)
Landed 18:39 18:10  Brooksville(QSK) C172N60395 -,,,,,,,Brooksville Tampa Bay Regional Airport(QSK/KBKV)
Landed 21:16 20:11  St. Petersburg(PIE) B350N263BA -,,,,,,,Brooksville Tampa Bay Regional Airport(QSK/KBKV)
Landed 20:59 21:02  Orlando(ORL) C172N945MC -,,,,,,,Brooksville Tampa Bay Regional Airport(QSK/KBKV)
Diverted to  CLW  08:35  Tampa(CLW) C172N4776E -,,,,,,,Brooksville Tampa Bay Regional Airport(QSK/KBKV)
Landed 08:58 09:08  Naples(APF) SR22N365AF -,,,,,,,Brooksville Tampa Bay Regional Airport(QSK/KBKV)
Landed 13:32 13:31  Lakeland(LAL) S22TN17KD -,,,,,,,Brooksville Tampa Bay Regional Airport(QSK/KBKV)
Landed 17:23 17:49  West Palm Beach(PBI) E55PN334GV -,,,,,,,Brooksville Tampa Bay Regional Airport(QSK/KBKV)
Canceled  18:53  Houston(HOU) LJ35N91GJ -,,,,,,,Brooksville Tampa Bay Regional Airport(QSK/KBKV)
Landed 01:21 00:50  West Palm Beach(PBI) C172N60395 -,,,,,,,Brooksville Tampa Bay Regional Airport(QSK/KBKV)
Landed 18:39 18:10  Brooksville(QSK) C172N60395 -,,,,,,,Brooksville Tampa Bay Regional Airport(QSK/KBKV)
Landed 21:16 20:11  St. Petersburg(PIE) B350N263BA -,,,,,,,Brooksville Tampa Bay Regional Airport(QSK/KBKV)
Landed 20:59 21:02  Orlando(ORL) C172N945MC -,,,,,,,Brooksville Tampa Bay Regional Airport(QSK/KBKV)
Diverted to  CLW  08:35  Tampa(CLW) C172N4776E -,,,,,,,Brooksville Tampa Bay Regional Airport(QSK/KBKV)
Landed 08:58 09:08  Naples(APF) SR22N365AF -,,,,,,,Brooksville Tampa Bay Regional Airport(QSK/KBKV)
Landed 13:32 13:31  Lakeland(LAL) S22TN17KD -,,,,,,,Brooksville Tampa Bay Regional Airport(QSK/KBKV)
Landed 17:23 17:49  West Palm Beach(PBI) E55PN334GV -,,,,,,,Brooksville Tampa Bay Regional Airport(QSK/KBKV)
Canceled  18:53  Houston(HOU) LJ35N91GJ -,,,,,,,Brooksville Tampa Bay Regional Airport(QSK/KBKV)
Landed 01:21 00:50  West Palm Beach(PBI) C172N60395 -,,,,,,,Brooksville Tampa Bay Regional Airport(QSK/KBKV)
Landed 18:39 18:10  Brooksville(QSK) C172N60395 -,,,,,,,Brooksville Tampa Bay Regional Airport(QSK/KBKV)
Landed 21:16 20:11  St. Petersburg(PIE) B350N263BA -,,,,,,,Brooksville Tampa Bay Regional Airport(QSK/KBKV)
Landed 20:59 21:02  Orlando(ORL) C172N945MC -,,,,,,,Brooksville Tampa Bay Regional Airport(QSK/KBKV)
Diverted to  CLW  08:35  Tampa(CLW) C172N4776E -,,,,,,,Brooksville Tampa Bay Regional Airport(QSK/KBKV)
Landed 08:58 09:08  Naples(APF) SR22N365AF -,,,,,,,Brooksville Tampa Bay Regional Airport(QSK/KBKV)
Landed 13:32 13:31  Lakeland(LAL) S22TN17KD -,,,,,,,Brooksville Tampa Bay Regional Airport(QSK/KBKV)
Landed 17:23 17:49  West Palm Beach(PBI) E55PN334GV -,,,,,,,Brooksville Tampa Bay Regional Airport(QSK/KBKV)
Canceled  18:53  Houston(HOU) LJ35N91GJ -,,,,,,,Brooksville Tampa Bay Regional Airport(QSK/KBKV)
Landed 01:21 00:50  West Palm Beach(PBI) C172N60395 -,,,,,,,Brooksville Tampa Bay Regional Airport(QSK/KBKV)
"Monday, Mar 11",,,,,,,Brooksville Tampa Bay Regional Airport(QSK/KBKV)
18:10,,Brooksville (QSK)-,-,C172 (N60395),,Landed 18:39,Brooksville Tampa Bay Regional Airport(QSK/KBKV),"Monday, Mar 11 2024"
20:11,,St. Petersburg (PIE)-,-,B350 (N263BA),,Landed 21:16,Brooksville Tampa Bay Regional Airport(QSK/KBKV),"Monday, Mar 11 2024"
21:02,,Orlando (ORL)-,-,C172 (N945MC),,Landed 20:59,Brooksville Tampa Bay Regional Airport(QSK/KBKV),"Monday, Mar 11 2024"
"Tuesday, Mar 12",,,,,,,Brooksville Tampa Bay Regional Airport(QSK/KBKV)
08:35,,Tampa (CLW)-,-,C172 (N4776E),,Diverted to  CLW,Brooksville Tampa Bay Regional Airport(QSK/KBKV),"Tuesday, Mar 12 2024"
09:08,,Naples (APF)-,-,SR22 (N365AF),,Landed 08:58,Brooksville Tampa Bay Regional Airport(QSK/KBKV),"Tuesday, Mar 12 2024"
13:31,,Lakeland (LAL)-,-,S22T (N17KD),,Landed 13:32,Brooksville Tampa Bay Regional Airport(QSK/KBKV),"Tuesday, Mar 12 2024"
17:49,,West Palm Beach (PBI)-,-,E55P (N334GV),,Landed 17:23,Brooksville Tampa Bay Regional Airport(QSK/KBKV),"Tuesday, Mar 12 2024"
18:53,,Houston (HOU)-,-,LJ35 (N91GJ),,Canceled,Brooksville Tampa Bay Regional Airport(QSK/KBKV),"Tuesday, Mar 12 2024"
"Wednesday, Mar 13",,,,,,,Brooksville Tampa Bay Regional Airport(QSK/KBKV)
00:50,,West Palm Beach (PBI)-,-,C172 (N60395),,Landed 01:21,Brooksville Tampa Bay Regional Airport(QSK/KBKV),"Wednesday, Mar 13 2024"
"Monday, Mar 11",,,,,,,Brooksville Tampa Bay Regional Airport(QSK/KBKV)
18:10,,Brooksville (QSK)-,-,C172 (N60395),,Landed 18:39,Brooksville Tampa Bay Regional Airport(QSK/KBKV),"Monday, Mar 11 2024"
20:11,,St. Petersburg (PIE)-,-,B350 (N263BA),,Landed 21:16,Brooksville Tampa Bay Regional Airport(QSK/KBKV),"Monday, Mar 11 2024"
21:02,,Orlando (ORL)-,-,C172 (N945MC),,Landed 20:59,Brooksville Tampa Bay Regional Airport(QSK/KBKV),"Monday, Mar 11 2024"
"Tuesday, Mar 12",,,,,,,Brooksville Tampa Bay Regional Airport(QSK/KBKV)
08:35,,Tampa (CLW)-,-,C172 (N4776E),,Diverted to  CLW,Brooksville Tampa Bay Regional Airport(QSK/KBKV),"Tuesday, Mar 12 2024"
09:08,,Naples (APF)-,-,SR22 (N365AF),,Landed 08:58,Brooksville Tampa Bay Regional Airport(QSK/KBKV),"Tuesday, Mar 12 2024"
13:31,,Lakeland (LAL)-,-,S22T (N17KD),,Landed 13:32,Brooksville Tampa Bay Regional Airport(QSK/KBKV),"Tuesday, Mar 12 2024"
17:49,,West Palm Beach (PBI)-,-,E55P (N334GV),,Landed 17:23,Brooksville Tampa Bay Regional Airport(QSK/KBKV),"Tuesday, Mar 12 2024"
18:53,,Houston (HOU)-,-,LJ35 (N91GJ),,Canceled,Brooksville Tampa Bay Regional Airport(QSK/KBKV),"Tuesday, Mar 12 2024"
"Wednesday, Mar 13",,,,,,,Brooksville Tampa Bay Regional Airport(QSK/KBKV)
00:50,,West Palm Beach (PBI)-,-,C172 (N60395),,Landed 01:21,Brooksville Tampa Bay Regional Airport(QSK/KBKV),"Wednesday, Mar 13 2024"
"Monday, Mar 11",,,,,,,Brooksville Tampa Bay Regional Airport(QSK/KBKV)
18:10,,Brooksville (QSK)-,-,C172 (N60395),,Landed 18:39,Brooksville Tampa Bay Regional Airport(QSK/KBKV),"Monday, Mar 11 2024"
20:11,,St. Petersburg (PIE)-,-,B350 (N263BA),,Landed 21:16,Brooksville Tampa Bay Regional Airport(QSK/KBKV),"Monday, Mar 11 2024"
21:02,,Orlando (ORL)-,-,C172 (N945MC),,Landed 20:59,Brooksville Tampa Bay Regional Airport(QSK/KBKV),"Monday, Mar 11 2024"
"Tuesday, Mar 12",,,,,,,Brooksville Tampa Bay Regional Airport(QSK/KBKV)
08:35,,Tampa (CLW)-,-,C172 (N4776E),,Diverted to  CLW,Brooksville Tampa Bay Regional Airport(QSK/KBKV),"Tuesday, Mar 12 2024"
09:08,,Naples (APF)-,-,SR22 (N365AF),,Landed 08:58,Brooksville Tampa Bay Regional Airport(QSK/KBKV),"Tuesday, Mar 12 2024"
13:31,,Lakeland (LAL)-,-,S22T (N17KD),,Landed 13:32,Brooksville Tampa Bay Regional Airport(QSK/KBKV),"Tuesday, Mar 12 2024"
17:49,,West Palm Beach (PBI)-,-,E55P (N334GV),,Landed 17:23,Brooksville Tampa Bay Regional Airport(QSK/KBKV),"Tuesday, Mar 12 2024"
18:53,,Houston (HOU)-,-,LJ35 (N91GJ),,Canceled,Brooksville Tampa Bay Regional Airport(QSK/KBKV),"Tuesday, Mar 12 2024"
"Wednesday, Mar 13",,,,,,,Brooksville Tampa Bay Regional Airport(QSK/KBKV)
00:50,,West Palm Beach (PBI)-,-,C172 (N60395),,Landed 01:21,Brooksville Tampa Bay Regional Airport(QSK/KBKV),"Wednesday, Mar 13 2024"
"Monday, Mar 11",,,,,,,Brooksville Tampa Bay Regional Airport(QSK/KBKV)
18:10,,Brooksville (QSK)-,-,C172 (N60395),,Landed 18:39,Brooksville Tampa Bay Regional Airport(QSK/KBKV),"Monday, Mar 11 2024"
20:11,,St. Petersburg (PIE)-,-,B350 (N263BA),,Landed 21:16,Brooksville Tampa Bay Regional Airport(QSK/KBKV),"Monday, Mar 11 2024"
21:02,,Orlando (ORL)-,-,C172 (N945MC),,Landed 20:59,Brooksville Tampa Bay Regional Airport(QSK/KBKV),"Monday, Mar 11 2024"
"Tuesday, Mar 12",,,,,,,Brooksville Tampa Bay Regional Airport(QSK/KBKV)
08:35,,Tampa (CLW)-,-,C172 (N4776E),,Diverted to  CLW,Brooksville Tampa Bay Regional Airport(QSK/KBKV),"Tuesday, Mar 12 2024"
09:08,,Naples (APF)-,-,SR22 (N365AF),,Landed 08:58,Brooksville Tampa Bay Regional Airport(QSK/KBKV),"Tuesday, Mar 12 2024"
