Load earlier flights,,,,,,,Davenport Municipal Airport(DVN/KDVN)
Loading...,,,,,,,Davenport Municipal Airport(DVN/KDVN)
"Sorry, we don't have any information about flights for this airport",,,,,,,Davenport Municipal Airport(DVN/KDVN)
Landed 18:56 18:35  Davenport(DVN) P28AN800VV -,,,,,,,Davenport Municipal Airport(DVN/KDVN)
Landed 18:56 18:35  Davenport(DVN) P28AN800VV -,,,,,,,Davenport Municipal Airport(DVN/KDVN)
Landed 18:56 18:35  Davenport(DVN) P28AN800VV -,,,,,,,Davenport Municipal Airport(DVN/KDVN)
Landed 18:56 18:35  Davenport(DVN) P28AN800VV -,,,,,,,Davenport Municipal Airport(DVN/KDVN)
Landed 18:56 18:35  Davenport(DVN) P28AN800VV -,,,,,,,Davenport Municipal Airport(DVN/KDVN)
Scheduled  08:08  South Bend(SBN) F900N107GL -,,,,,,,Davenport Municipal Airport(DVN/KDVN)
Scheduled  08:08  South Bend(SBN) F900N107GL -,,,,,,,Davenport Municipal Airport(DVN/KDVN)
Scheduled  08:08  South Bend(SBN) F900N107GL -,,,,,,,Davenport Municipal Airport(DVN/KDVN)
Scheduled  08:08  South Bend(SBN) F900N107GL -,,,,,,,Davenport Municipal Airport(DVN/KDVN)
Scheduled  08:08  South Bend(SBN) F900N107GL -,,,,,,,Davenport Municipal Airport(DVN/KDVN)
Scheduled  08:08  South Bend(SBN) F900N107GL -,,,,,,,Davenport Municipal Airport(DVN/KDVN)
"Tuesday, Mar 12",,,,,,,Davenport Municipal Airport(DVN/KDVN)
18:35,,Davenport (DVN)-,-,P28A (N800VV),,Landed 18:56,Davenport Municipal Airport(DVN/KDVN),"Tuesday, Mar 12 2024"
18:35,,Davenport (DVN)-,-,P28A (N800VV),,Landed 18:56,Davenport Municipal Airport(DVN/KDVN),"Tuesday, Mar 12 2024"
18:35,,Davenport (DVN)-,-,P28A (N800VV),,Landed 18:56,Davenport Municipal Airport(DVN/KDVN),"Tuesday, Mar 12 2024"
18:35,,Davenport (DVN)-,-,P28A (N800VV),,Landed 18:56,Davenport Municipal Airport(DVN/KDVN),"Tuesday, Mar 12 2024"
18:35,,Davenport (DVN)-,-,P28A (N800VV),,Landed 18:56,Davenport Municipal Airport(DVN/KDVN),"Tuesday, Mar 12 2024"
"Wednesday, Mar 13",,,,,,,Davenport Municipal Airport(DVN/KDVN)
08:08,,South Bend (SBN)-,-,F900 (N107GL),,Scheduled,Davenport Municipal Airport(DVN/KDVN),"Wednesday, Mar 13 2024"
08:08,,South Bend (SBN)-,-,F900 (N107GL),,Scheduled,Davenport Municipal Airport(DVN/KDVN),"Wednesday, Mar 13 2024"
08:08,,South Bend (SBN)-,-,F900 (N107GL),,Scheduled,Davenport Municipal Airport(DVN/KDVN),"Wednesday, Mar 13 2024"
08:08,,South Bend (SBN)-,-,F900 (N107GL),,Scheduled,Davenport Municipal Airport(DVN/KDVN),"Wednesday, Mar 13 2024"
08:08,,South Bend (SBN)-,-,F900 (N107GL),,Scheduled,Davenport Municipal Airport(DVN/KDVN),"Wednesday, Mar 13 2024"
08:08,,South Bend (SBN)-,-,F900 (N107GL),,Scheduled,Davenport Municipal Airport(DVN/KDVN),"Wednesday, Mar 13 2024"
Load later flights,,,,,,,Davenport Municipal Airport(DVN/KDVN),"Wednesday, Mar 13 2024"
* All times are in local timezone,,,,,,,Davenport Municipal Airport(DVN/KDVN),"Wednesday, Mar 13 2024"
