Loading earlier flights...,,,,,,,Dubuque Regional Airport(DBQ/KDBQ)
Loading...,,,,,,,Dubuque Regional Airport(DBQ/KDBQ)
"Sorry, we don't have any information about flights for this airport",,,,,,,Dubuque Regional Airport(DBQ/KDBQ)
Canceled  18:55  Dubuque(DBQ) C172N859D -,,,,,,,Dubuque Regional Airport(DBQ/KDBQ)
Landed 19:42 18:58  Dubuque(DBQ) C172N820D -,,,,,,,Dubuque Regional Airport(DBQ/KDBQ)
Landed 22:13 21:46  Dubuque(DBQ) C172N740D -,,,,,,,Dubuque Regional Airport(DBQ/KDBQ)
Landed 11:57 11:58  Dubuque(DBQ) C172N101TF -,,,,,,,Dubuque Regional Airport(DBQ/KDBQ)
Landed 13:39 13:34  Dubuque(DBQ) C172N44UD -,,,,,,,Dubuque Regional Airport(DBQ/KDBQ)
Unknown  13:49  Newton(TNU) C172N44UD -,,,,,,,Dubuque Regional Airport(DBQ/KDBQ)
Landed 15:15 15:01  Sioux City(SUX) C560N563M -,,,,,,,Dubuque Regional Airport(DBQ/KDBQ)
Landed 20:53 16:16  Dubuque(DBQ) C172N834D -,,,,,,,Dubuque Regional Airport(DBQ/KDBQ)
Landed 16:40 16:17  Dubuque(DBQ) C172N820D -,,,,,,,Dubuque Regional Airport(DBQ/KDBQ)
Landed 18:06 17:42 EJA830 Philadelphia(PHL) C700N830QSNetJets -,,,,,,,Dubuque Regional Airport(DBQ/KDBQ)
Unknown  18:42  Dubuque(DBQ) C172N865D -,,,,,,,Dubuque Regional Airport(DBQ/KDBQ)
Landed 20:17 20:32  Green Bay(GRB) C172N859D -,,,,,,,Dubuque Regional Airport(DBQ/KDBQ)
Landed 21:50 21:45  Dubuque(DBQ) C172N45UD -,,,,,,,Dubuque Regional Airport(DBQ/KDBQ)
Diverted to  LSE  22:20  Dubuque(DBQ) C172N44UD -,,,,,,,Dubuque Regional Airport(DBQ/KDBQ)
Scheduled  15:50 XP766 Orlando(MCO) B738N801XTAvelo Airlines -,,,,,,,Dubuque Regional Airport(DBQ/KDBQ)
"Monday, Mar 11",,,,,,,Dubuque Regional Airport(DBQ/KDBQ)
18:55,,Dubuque (DBQ)-,-,C172 (N859D),,Canceled,Dubuque Regional Airport(DBQ/KDBQ),"Monday, Mar 11 2024"
18:58,,Dubuque (DBQ)-,-,C172 (N820D),,Landed 19:42,Dubuque Regional Airport(DBQ/KDBQ),"Monday, Mar 11 2024"
21:46,,Dubuque (DBQ)-,-,C172 (N740D),,Landed 22:13,Dubuque Regional Airport(DBQ/KDBQ),"Monday, Mar 11 2024"
"Tuesday, Mar 12",,,,,,,Dubuque Regional Airport(DBQ/KDBQ)
11:58,,Dubuque (DBQ)-,-,C172 (N101TF),,Landed 11:57,Dubuque Regional Airport(DBQ/KDBQ),"Tuesday, Mar 12 2024"
13:34,,Dubuque (DBQ)-,-,C172 (N44UD),,Landed 13:39,Dubuque Regional Airport(DBQ/KDBQ),"Tuesday, Mar 12 2024"
13:49,,Newton (TNU)-,-,C172 (N44UD),,Unknown,Dubuque Regional Airport(DBQ/KDBQ),"Tuesday, Mar 12 2024"
15:01,,Sioux City (SUX)-,-,C560 (N563M),,Landed 15:15,Dubuque Regional Airport(DBQ/KDBQ),"Tuesday, Mar 12 2024"
16:16,,Dubuque (DBQ)-,-,C172 (N834D),,Landed 20:53,Dubuque Regional Airport(DBQ/KDBQ),"Tuesday, Mar 12 2024"
16:17,,Dubuque (DBQ)-,-,C172 (N820D),,Landed 16:40,Dubuque Regional Airport(DBQ/KDBQ),"Tuesday, Mar 12 2024"
17:42,EJA830,Philadelphia (PHL)-,NetJets -,C700 (N830QS),,Landed 18:06,Dubuque Regional Airport(DBQ/KDBQ),"Tuesday, Mar 12 2024"
18:42,,Dubuque (DBQ)-,-,C172 (N865D),,Unknown,Dubuque Regional Airport(DBQ/KDBQ),"Tuesday, Mar 12 2024"
20:32,,Green Bay (GRB)-,-,C172 (N859D),,Landed 20:17,Dubuque Regional Airport(DBQ/KDBQ),"Tuesday, Mar 12 2024"
21:45,,Dubuque (DBQ)-,-,C172 (N45UD),,Landed 21:50,Dubuque Regional Airport(DBQ/KDBQ),"Tuesday, Mar 12 2024"
22:20,,Dubuque (DBQ)-,-,C172 (N44UD),,Diverted to  LSE,Dubuque Regional Airport(DBQ/KDBQ),"Tuesday, Mar 12 2024"
"Wednesday, Mar 13",,,,,,,Dubuque Regional Airport(DBQ/KDBQ)
15:50,XP766,Orlando (MCO)-,Avelo Airlines -,B738 (N801XT),,Scheduled,Dubuque Regional Airport(DBQ/KDBQ),"Wednesday, Mar 13 2024"
Loading later flights...,,,,,,,Dubuque Regional Airport(DBQ/KDBQ),"Wednesday, Mar 13 2024"
* All times are in local timezone,,,,,,,Dubuque Regional Airport(DBQ/KDBQ),"Wednesday, Mar 13 2024"
