Loading earlier flights...,,,,,,,Elko Regional Airport(EKO/KEKO)
Loading...,,,,,,,Elko Regional Airport(EKO/KEKO)
"Sorry, we don't have any information about flights for this airport",,,,,,,Elko Regional Airport(EKO/KEKO)
Landed 21:08 21:33 DL4271 Salt Lake City(SLC) CRJ9N839SKDelta Connection -,,,,,,,Elko Regional Airport(EKO/KEKO)
Landed 00:08 00:24  Salt Lake City(SLC) C25CN581HC -,,,,,,,Elko Regional Airport(EKO/KEKO)
Unknown  07:10 5A1892 Salt Lake City(SLC) B190Alpine Air Express -,,,,,,,Elko Regional Airport(EKO/KEKO)
Landed 07:41 07:59  Las Vegas(HSH) C441N711MB -,,,,,,,Elko Regional Airport(EKO/KEKO)
Landed 14:29 14:44  Carson City(CSN) BE33N4563S -,,,,,,,Elko Regional Airport(EKO/KEKO)
Landed 21:10 21:33 DL4271 Salt Lake City(SLC) CRJ9N161PQDelta Connection -,,,,,,,Elko Regional Airport(EKO/KEKO)
Landed 21:08 21:33 DL4271 Salt Lake City(SLC) CRJ9N839SKDelta Connection -,,,,,,,Elko Regional Airport(EKO/KEKO)
Landed 00:08 00:24  Salt Lake City(SLC) C25CN581HC -,,,,,,,Elko Regional Airport(EKO/KEKO)
Unknown  07:10 5A1892 Salt Lake City(SLC) B190Alpine Air Express -,,,,,,,Elko Regional Airport(EKO/KEKO)
Landed 07:41 07:59  Las Vegas(HSH) C441N711MB -,,,,,,,Elko Regional Airport(EKO/KEKO)
Landed 14:29 14:44  Carson City(CSN) BE33N4563S -,,,,,,,Elko Regional Airport(EKO/KEKO)
Landed 21:10 21:33 DL4271 Salt Lake City(SLC) CRJ9N161PQDelta Connection -,,,,,,,Elko Regional Airport(EKO/KEKO)
Scheduled  07:12 5A1892 Salt Lake City(SLC) B190Alpine Air Express -,,,,,,,Elko Regional Airport(EKO/KEKO)
Scheduled  21:33 DL4271 Salt Lake City(SLC) CRJ9N816SKDelta Connection -,,,,,,,Elko Regional Airport(EKO/KEKO)
"Monday, Mar 11",,,,,,,Elko Regional Airport(EKO/KEKO)
21:33,DL4271,Salt Lake City (SLC)-,Delta Connection -,CRJ9 (N839SK),,Landed 21:08,Elko Regional Airport(EKO/KEKO),"Monday, Mar 11 2024"
"Tuesday, Mar 12",,,,,,,Elko Regional Airport(EKO/KEKO)
00:24,,Salt Lake City (SLC)-,-,C25C (N581HC),,Landed 00:08,Elko Regional Airport(EKO/KEKO),"Tuesday, Mar 12 2024"
07:10,5A1892,Salt Lake City (SLC)-,Alpine Air Express -,B190 (),,Unknown,Elko Regional Airport(EKO/KEKO),"Tuesday, Mar 12 2024"
07:59,,Las Vegas (HSH)-,-,C441 (N711MB),,Landed 07:41,Elko Regional Airport(EKO/KEKO),"Tuesday, Mar 12 2024"
14:44,,Carson City (CSN)-,-,BE33 (N4563S),,Landed 14:29,Elko Regional Airport(EKO/KEKO),"Tuesday, Mar 12 2024"
21:33,DL4271,Salt Lake City (SLC)-,Delta Connection -,CRJ9 (N161PQ),,Landed 21:10,Elko Regional Airport(EKO/KEKO),"Tuesday, Mar 12 2024"
"Monday, Mar 11",,,,,,,Elko Regional Airport(EKO/KEKO)
21:33,DL4271,Salt Lake City (SLC)-,Delta Connection -,CRJ9 (N839SK),,Landed 21:08,Elko Regional Airport(EKO/KEKO),"Monday, Mar 11 2024"
"Tuesday, Mar 12",,,,,,,Elko Regional Airport(EKO/KEKO)
00:24,,Salt Lake City (SLC)-,-,C25C (N581HC),,Landed 00:08,Elko Regional Airport(EKO/KEKO),"Tuesday, Mar 12 2024"
07:10,5A1892,Salt Lake City (SLC)-,Alpine Air Express -,B190 (),,Unknown,Elko Regional Airport(EKO/KEKO),"Tuesday, Mar 12 2024"
07:59,,Las Vegas (HSH)-,-,C441 (N711MB),,Landed 07:41,Elko Regional Airport(EKO/KEKO),"Tuesday, Mar 12 2024"
14:44,,Carson City (CSN)-,-,BE33 (N4563S),,Landed 14:29,Elko Regional Airport(EKO/KEKO),"Tuesday, Mar 12 2024"
21:33,DL4271,Salt Lake City (SLC)-,Delta Connection -,CRJ9 (N161PQ),,Landed 21:10,Elko Regional Airport(EKO/KEKO),"Tuesday, Mar 12 2024"
"Wednesday, Mar 13",,,,,,,Elko Regional Airport(EKO/KEKO)
07:12,5A1892,Salt Lake City (SLC)-,Alpine Air Express -,B190 (),,Scheduled,Elko Regional Airport(EKO/KEKO),"Wednesday, Mar 13 2024"
21:33,DL4271,Salt Lake City (SLC)-,Delta Connection -,CRJ9 (N816SK),,Scheduled,Elko Regional Airport(EKO/KEKO),"Wednesday, Mar 13 2024"
Loading later flights...,,,,,,,Elko Regional Airport(EKO/KEKO),"Wednesday, Mar 13 2024"
* All times are in local timezone,,,,,,,Elko Regional Airport(EKO/KEKO),"Wednesday, Mar 13 2024"
