Load earlier flights,,,,,,,Huntsville Regional Airport(HTV/KUTS)
Loading...,,,,,,,Huntsville Regional Airport(HTV/KUTS)
"Sorry, we don't have any information about flights for this airport",,,,,,,Huntsville Regional Airport(HTV/KUTS)
Landed 07:58 07:54  Conroe(CXO) C172N12104 -,,,,,,,Huntsville Regional Airport(HTV/KUTS)
Unknown  08:09  Conroe(CXO) PA34N55051 -,,,,,,,Huntsville Regional Airport(HTV/KUTS)
Landed 19:41 19:47  Ruston(RSN) S22TN424G -,,,,,,,Huntsville Regional Airport(HTV/KUTS)
Landed 07:58 07:54  Conroe(CXO) C172N12104 -,,,,,,,Huntsville Regional Airport(HTV/KUTS)
Unknown  08:09  Conroe(CXO) PA34N55051 -,,,,,,,Huntsville Regional Airport(HTV/KUTS)
Landed 19:41 19:47  Ruston(RSN) S22TN424G -,,,,,,,Huntsville Regional Airport(HTV/KUTS)
Landed 07:58 07:54  Conroe(CXO) C172N12104 -,,,,,,,Huntsville Regional Airport(HTV/KUTS)
Unknown  08:09  Conroe(CXO) PA34N55051 -,,,,,,,Huntsville Regional Airport(HTV/KUTS)
Landed 19:41 19:47  Ruston(RSN) S22TN424G -,,,,,,,Huntsville Regional Airport(HTV/KUTS)
Landed 07:58 07:54  Conroe(CXO) C172N12104 -,,,,,,,Huntsville Regional Airport(HTV/KUTS)
Unknown  08:09  Conroe(CXO) PA34N55051 -,,,,,,,Huntsville Regional Airport(HTV/KUTS)
Landed 19:41 19:47  Ruston(RSN) S22TN424G -,,,,,,,Huntsville Regional Airport(HTV/KUTS)
Landed 07:58 07:54  Conroe(CXO) C172N12104 -,,,,,,,Huntsville Regional Airport(HTV/KUTS)
Unknown  08:09  Conroe(CXO) PA34N55051 -,,,,,,,Huntsville Regional Airport(HTV/KUTS)
Landed 19:41 19:47  Ruston(RSN) S22TN424G -,,,,,,,Huntsville Regional Airport(HTV/KUTS)
"Tuesday, Mar 12",,,,,,,Huntsville Regional Airport(HTV/KUTS)
07:54,,Conroe (CXO)-,-,C172 (N12104),,Landed 07:58,Huntsville Regional Airport(HTV/KUTS),"Tuesday, Mar 12 2024"
08:09,,Conroe (CXO)-,-,PA34 (N55051),,Unknown,Huntsville Regional Airport(HTV/KUTS),"Tuesday, Mar 12 2024"
19:47,,Ruston (RSN)-,-,S22T (N424G),,Landed 19:41,Huntsville Regional Airport(HTV/KUTS),"Tuesday, Mar 12 2024"
07:54,,Conroe (CXO)-,-,C172 (N12104),,Landed 07:58,Huntsville Regional Airport(HTV/KUTS),"Tuesday, Mar 12 2024"
08:09,,Conroe (CXO)-,-,PA34 (N55051),,Unknown,Huntsville Regional Airport(HTV/KUTS),"Tuesday, Mar 12 2024"
19:47,,Ruston (RSN)-,-,S22T (N424G),,Landed 19:41,Huntsville Regional Airport(HTV/KUTS),"Tuesday, Mar 12 2024"
07:54,,Conroe (CXO)-,-,C172 (N12104),,Landed 07:58,Huntsville Regional Airport(HTV/KUTS),"Tuesday, Mar 12 2024"
08:09,,Conroe (CXO)-,-,PA34 (N55051),,Unknown,Huntsville Regional Airport(HTV/KUTS),"Tuesday, Mar 12 2024"
19:47,,Ruston (RSN)-,-,S22T (N424G),,Landed 19:41,Huntsville Regional Airport(HTV/KUTS),"Tuesday, Mar 12 2024"
07:54,,Conroe (CXO)-,-,C172 (N12104),,Landed 07:58,Huntsville Regional Airport(HTV/KUTS),"Tuesday, Mar 12 2024"
08:09,,Conroe (CXO)-,-,PA34 (N55051),,Unknown,Huntsville Regional Airport(HTV/KUTS),"Tuesday, Mar 12 2024"
19:47,,Ruston (RSN)-,-,S22T (N424G),,Landed 19:41,Huntsville Regional Airport(HTV/KUTS),"Tuesday, Mar 12 2024"
07:54,,Conroe (CXO)-,-,C172 (N12104),,Landed 07:58,Huntsville Regional Airport(HTV/KUTS),"Tuesday, Mar 12 2024"
08:09,,Conroe (CXO)-,-,PA34 (N55051),,Unknown,Huntsville Regional Airport(HTV/KUTS),"Tuesday, Mar 12 2024"
19:47,,Ruston (RSN)-,-,S22T (N424G),,Landed 19:41,Huntsville Regional Airport(HTV/KUTS),"Tuesday, Mar 12 2024"
Loading later flights...,,,,,,,Huntsville Regional Airport(HTV/KUTS),"Tuesday, Mar 12 2024"
* All times are in local timezone,,,,,,,Huntsville Regional Airport(HTV/KUTS),"Tuesday, Mar 12 2024"
