Load earlier flights,,,,,,,Immokalee Regional Airport(IMM/KIMM)
Loading...,,,,,,,Immokalee Regional Airport(IMM/KIMM)
"Sorry, we don't have any information about flights for this airport",,,,,,,Immokalee Regional Airport(IMM/KIMM)
Landed 16:40 16:39 WCP319 Fort Pierce(FPR) P28AN886ACAviator College -,,,,,,,Immokalee Regional Airport(IMM/KIMM)
Landed 16:40 16:39 WCP319 Fort Pierce(FPR) P28AN886ACAviator College -,,,,,,,Immokalee Regional Airport(IMM/KIMM)
Landed 16:40 16:39 WCP319 Fort Pierce(FPR) P28AN886ACAviator College -,,,,,,,Immokalee Regional Airport(IMM/KIMM)
Landed 16:40 16:39 WCP319 Fort Pierce(FPR) P28AN886ACAviator College -,,,,,,,Immokalee Regional Airport(IMM/KIMM)
Landed 16:40 16:39 WCP319 Fort Pierce(FPR) P28AN886ACAviator College -,,,,,,,Immokalee Regional Airport(IMM/KIMM)
Scheduled  13:16  Moultrie(MGR) C510N878PR -,,,,,,,Immokalee Regional Airport(IMM/KIMM)
Scheduled  13:16  Moultrie(MGR) C510N878PR -,,,,,,,Immokalee Regional Airport(IMM/KIMM)
Scheduled  13:16  Moultrie(MGR) C510N878PR -,,,,,,,Immokalee Regional Airport(IMM/KIMM)
Scheduled  13:16  Moultrie(MGR) C510N878PR -,,,,,,,Immokalee Regional Airport(IMM/KIMM)
Scheduled  13:16  Moultrie(MGR) C510N878PR -,,,,,,,Immokalee Regional Airport(IMM/KIMM)
Scheduled  13:16  Moultrie(MGR) C510N878PR -,,,,,,,Immokalee Regional Airport(IMM/KIMM)
"Tuesday, Mar 12",,,,,,,Immokalee Regional Airport(IMM/KIMM)
16:39,WCP319,Fort Pierce (FPR)-,Aviator College -,P28A (N886AC),,Landed 16:40,Immokalee Regional Airport(IMM/KIMM),"Tuesday, Mar 12 2024"
16:39,WCP319,Fort Pierce (FPR)-,Aviator College -,P28A (N886AC),,Landed 16:40,Immokalee Regional Airport(IMM/KIMM),"Tuesday, Mar 12 2024"
16:39,WCP319,Fort Pierce (FPR)-,Aviator College -,P28A (N886AC),,Landed 16:40,Immokalee Regional Airport(IMM/KIMM),"Tuesday, Mar 12 2024"
16:39,WCP319,Fort Pierce (FPR)-,Aviator College -,P28A (N886AC),,Landed 16:40,Immokalee Regional Airport(IMM/KIMM),"Tuesday, Mar 12 2024"
16:39,WCP319,Fort Pierce (FPR)-,Aviator College -,P28A (N886AC),,Landed 16:40,Immokalee Regional Airport(IMM/KIMM),"Tuesday, Mar 12 2024"
"Wednesday, Mar 13",,,,,,,Immokalee Regional Airport(IMM/KIMM)
13:16,,Moultrie (MGR)-,-,C510 (N878PR),,Scheduled,Immokalee Regional Airport(IMM/KIMM),"Wednesday, Mar 13 2024"
13:16,,Moultrie (MGR)-,-,C510 (N878PR),,Scheduled,Immokalee Regional Airport(IMM/KIMM),"Wednesday, Mar 13 2024"
13:16,,Moultrie (MGR)-,-,C510 (N878PR),,Scheduled,Immokalee Regional Airport(IMM/KIMM),"Wednesday, Mar 13 2024"
13:16,,Moultrie (MGR)-,-,C510 (N878PR),,Scheduled,Immokalee Regional Airport(IMM/KIMM),"Wednesday, Mar 13 2024"
13:16,,Moultrie (MGR)-,-,C510 (N878PR),,Scheduled,Immokalee Regional Airport(IMM/KIMM),"Wednesday, Mar 13 2024"
13:16,,Moultrie (MGR)-,-,C510 (N878PR),,Scheduled,Immokalee Regional Airport(IMM/KIMM),"Wednesday, Mar 13 2024"
Load later flights,,,,,,,Immokalee Regional Airport(IMM/KIMM),"Wednesday, Mar 13 2024"
* All times are in local timezone,,,,,,,Immokalee Regional Airport(IMM/KIMM),"Wednesday, Mar 13 2024"
