Load earlier flights,,,,,,,Austin Executive Airport(EDC/KEDC)
Loading...,,,,,,,Austin Executive Airport(EDC/KEDC)
"Sorry, we don't have any information about flights for this airport",,,,,,,Austin Executive Airport(EDC/KEDC)
Departed 20:34 20:20  Houston(QTA) SR22N515SM -,,,,,,,Austin Executive Airport(EDC/KEDC)
Departed 07:57 07:30  Beef Island(EIS) H25BN726LC -,,,,,,,Austin Executive Airport(EDC/KEDC)
Departed 07:38 07:30  Victoria(VCT) S22TN434TX -,,,,,,,Austin Executive Airport(EDC/KEDC)
Estimated dep.  10:06 10:00 EJA838 West Palm Beach(PBI) C700NetJets -,,,,,,,Austin Executive Airport(EDC/KEDC)
Canceled  10:30 FTH975 St. George(SGU) C750Mountain Aviation -,,,,,,,Austin Executive Airport(EDC/KEDC)
Departed 11:17 11:15  Lake Jackson(LJN) C172N478SP -,,,,,,,Austin Executive Airport(EDC/KEDC)
Departed 12:28 11:30  Eagle(EGE) LJ45N318SA -,,,,,,,Austin Executive Airport(EDC/KEDC)
Departed 12:26 12:20  Lubbock(LBB) C56XN17AN -,,,,,,,Austin Executive Airport(EDC/KEDC)
Departed 13:12 12:55  Austin(AUS) C172N167SJ -,,,,,,,Austin Executive Airport(EDC/KEDC)
Departed 16:16 14:30  Galveston(GLS) M20TN252JH -,,,,,,,Austin Executive Airport(EDC/KEDC)
Departed 15:37 15:36 EJA938 Oklahoma City(OKC) C68AN938QSNetJets -,,,,,,,Austin Executive Airport(EDC/KEDC)
Departed 18:02 17:25  Pueblo(PUB) BE20N933RT -,,,,,,,Austin Executive Airport(EDC/KEDC)
Estimated dep.  19:18 19:18 EJA786 San Antonio(SAT) CL30NetJets -,,,,,,,Austin Executive Airport(EDC/KEDC)
Departed 20:34 20:20  Houston(QTA) SR22N515SM -,,,,,,,Austin Executive Airport(EDC/KEDC)
Departed 07:57 07:30  Beef Island(EIS) H25BN726LC -,,,,,,,Austin Executive Airport(EDC/KEDC)
Departed 07:38 07:30  Victoria(VCT) S22TN434TX -,,,,,,,Austin Executive Airport(EDC/KEDC)
Estimated dep.  10:06 10:00 EJA838 West Palm Beach(PBI) C700NetJets -,,,,,,,Austin Executive Airport(EDC/KEDC)
Canceled  10:30 FTH975 St. George(SGU) C750Mountain Aviation -,,,,,,,Austin Executive Airport(EDC/KEDC)
Departed 11:17 11:15  Lake Jackson(LJN) C172N478SP -,,,,,,,Austin Executive Airport(EDC/KEDC)
Departed 12:28 11:30  Eagle(EGE) LJ45N318SA -,,,,,,,Austin Executive Airport(EDC/KEDC)
Departed 12:26 12:20  Lubbock(LBB) C56XN17AN -,,,,,,,Austin Executive Airport(EDC/KEDC)
Departed 13:12 12:55  Austin(AUS) C172N167SJ -,,,,,,,Austin Executive Airport(EDC/KEDC)
Departed 16:16 14:30  Galveston(GLS) M20TN252JH -,,,,,,,Austin Executive Airport(EDC/KEDC)
Departed 15:37 15:36 EJA938 Oklahoma City(OKC) C68AN938QSNetJets -,,,,,,,Austin Executive Airport(EDC/KEDC)
Departed 18:02 17:25  Pueblo(PUB) BE20N933RT -,,,,,,,Austin Executive Airport(EDC/KEDC)
Estimated dep.  19:18 19:18 EJA786 San Antonio(SAT) CL30NetJets -,,,,,,,Austin Executive Airport(EDC/KEDC)
Departed 20:34 20:20  Houston(QTA) SR22N515SM -,,,,,,,Austin Executive Airport(EDC/KEDC)
Departed 07:57 07:30  Beef Island(EIS) H25BN726LC -,,,,,,,Austin Executive Airport(EDC/KEDC)
Departed 07:38 07:30  Victoria(VCT) S22TN434TX -,,,,,,,Austin Executive Airport(EDC/KEDC)
Estimated dep.  10:06 10:00 EJA838 West Palm Beach(PBI) C700NetJets -,,,,,,,Austin Executive Airport(EDC/KEDC)
Canceled  10:30 FTH975 St. George(SGU) C750Mountain Aviation -,,,,,,,Austin Executive Airport(EDC/KEDC)
Departed 11:17 11:15  Lake Jackson(LJN) C172N478SP -,,,,,,,Austin Executive Airport(EDC/KEDC)
Departed 12:28 11:30  Eagle(EGE) LJ45N318SA -,,,,,,,Austin Executive Airport(EDC/KEDC)
Departed 12:26 12:20  Lubbock(LBB) C56XN17AN -,,,,,,,Austin Executive Airport(EDC/KEDC)
Departed 13:12 12:55  Austin(AUS) C172N167SJ -,,,,,,,Austin Executive Airport(EDC/KEDC)
Departed 16:16 14:30  Galveston(GLS) M20TN252JH -,,,,,,,Austin Executive Airport(EDC/KEDC)
Departed 15:37 15:36 EJA938 Oklahoma City(OKC) C68AN938QSNetJets -,,,,,,,Austin Executive Airport(EDC/KEDC)
Departed 18:02 17:25  Pueblo(PUB) BE20N933RT -,,,,,,,Austin Executive Airport(EDC/KEDC)
Estimated dep.  19:18 19:18 EJA786 San Antonio(SAT) CL30NetJets -,,,,,,,Austin Executive Airport(EDC/KEDC)
Departed 20:34 20:20  Houston(QTA) SR22N515SM -,,,,,,,Austin Executive Airport(EDC/KEDC)
Departed 07:57 07:30  Beef Island(EIS) H25BN726LC -,,,,,,,Austin Executive Airport(EDC/KEDC)
Departed 07:38 07:30  Victoria(VCT) S22TN434TX -,,,,,,,Austin Executive Airport(EDC/KEDC)
Estimated dep.  10:06 10:00 EJA838 West Palm Beach(PBI) C700NetJets -,,,,,,,Austin Executive Airport(EDC/KEDC)
Canceled  10:30 FTH975 St. George(SGU) C750Mountain Aviation -,,,,,,,Austin Executive Airport(EDC/KEDC)
Departed 11:17 11:15  Lake Jackson(LJN) C172N478SP -,,,,,,,Austin Executive Airport(EDC/KEDC)
Departed 12:28 11:30  Eagle(EGE) LJ45N318SA -,,,,,,,Austin Executive Airport(EDC/KEDC)
Departed 12:26 12:20  Lubbock(LBB) C56XN17AN -,,,,,,,Austin Executive Airport(EDC/KEDC)
Departed 13:12 12:55  Austin(AUS) C172N167SJ -,,,,,,,Austin Executive Airport(EDC/KEDC)
Departed 16:16 14:30  Galveston(GLS) M20TN252JH -,,,,,,,Austin Executive Airport(EDC/KEDC)
