Load earlier flights,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Loading...,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
"Sorry, we don't have any information about flights for this airport",,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Departed 17:35 17:10  Austin(EDC) SR20N939CD -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Departed 07:25 07:15 AN5 Albuquerque(ABQ) B350N395AVAdvanced Air -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Unknown  07:30 AN400 Albuquerque(ABQ) BETAdvanced Air -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Estimated dep.  10:41 11:00 AN494 Phoenix(PHX) B350N395AVAdvanced Air -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Departed 15:14 14:40  Midland(MAF) E550N884MC -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Departed 15:34 15:10  Scottsdale(SCF) TBM9N900GK -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Departed 02:09 01:50  Las Cruces(LRU) BE9LN249CP -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Departed 17:35 17:10  Austin(EDC) SR20N939CD -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Departed 07:25 07:15 AN5 Albuquerque(ABQ) B350N395AVAdvanced Air -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Unknown  07:30 AN400 Albuquerque(ABQ) BETAdvanced Air -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Estimated dep.  10:41 11:00 AN494 Phoenix(PHX) B350N395AVAdvanced Air -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Departed 15:14 14:40  Midland(MAF) E550N884MC -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Departed 15:34 15:10  Scottsdale(SCF) TBM9N900GK -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Departed 02:09 01:50  Las Cruces(LRU) BE9LN249CP -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Departed 17:35 17:10  Austin(EDC) SR20N939CD -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Departed 07:25 07:15 AN5 Albuquerque(ABQ) B350N395AVAdvanced Air -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Unknown  07:30 AN400 Albuquerque(ABQ) BETAdvanced Air -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Estimated dep.  10:41 11:00 AN494 Phoenix(PHX) B350N395AVAdvanced Air -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Departed 15:14 14:40  Midland(MAF) E550N884MC -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Departed 15:34 15:10  Scottsdale(SCF) TBM9N900GK -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Departed 02:09 01:50  Las Cruces(LRU) BE9LN249CP -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Departed 17:35 17:10  Austin(EDC) SR20N939CD -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Departed 07:25 07:15 AN5 Albuquerque(ABQ) B350N395AVAdvanced Air -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Unknown  07:30 AN400 Albuquerque(ABQ) BETAdvanced Air -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Estimated dep.  10:41 11:00 AN494 Phoenix(PHX) B350N395AVAdvanced Air -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Departed 15:14 14:40  Midland(MAF) E550N884MC -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Departed 15:34 15:10  Scottsdale(SCF) TBM9N900GK -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Departed 02:09 01:50  Las Cruces(LRU) BE9LN249CP -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Departed 17:35 17:10  Austin(EDC) SR20N939CD -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Departed 07:25 07:15 AN5 Albuquerque(ABQ) B350N395AVAdvanced Air -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Unknown  07:30 AN400 Albuquerque(ABQ) BETAdvanced Air -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Estimated dep.  10:41 11:00 AN494 Phoenix(PHX) B350N395AVAdvanced Air -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Departed 15:14 14:40  Midland(MAF) E550N884MC -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
Departed 15:34 15:10  Scottsdale(SCF) TBM9N900GK -,,,,,,,Carlsbad Cavern City Air Terminal Airport(CNM/KCNM)
