Loading earlier flights...,,,,,,,Clemson Oconee County Regional Airport(CEU/KCEU)
Loading...,,,,,,,Clemson Oconee County Regional Airport(CEU/KCEU)
"Sorry, we don't have any information about flights for this airport",,,,,,,Clemson Oconee County Regional Airport(CEU/KCEU)
Departed 08:52 08:30  Sherman(PNX) C25MN725CG -,,,,,,,Clemson Oconee County Regional Airport(CEU/KCEU)
Departed 14:17 14:10  Savannah(SAV) P32RN53392 -,,,,,,,Clemson Oconee County Regional Airport(CEU/KCEU)
Departed 15:26 15:00 LXJ464 Kissimmee(ISM) GLF4N464FXFlexjet -,,,,,,,Clemson Oconee County Regional Airport(CEU/KCEU)
Departed 15:54 15:15 VET430 St. Louis(STL) C560N430AM -,,,,,,,Clemson Oconee County Regional Airport(CEU/KCEU)
Departed 00:10 23:43  Greenville-Spartanburg(GSP) C560N430AM -,,,,,,,Clemson Oconee County Regional Airport(CEU/KCEU)
Estimated dep.  12:06 12:00 EJA906 Columbia(CAE) -NetJets -,,,,,,,Clemson Oconee County Regional Airport(CEU/KCEU)
Estimated dep.  14:36 14:30 EJA390 Washington(IAD) E55PNetJets -,,,,,,,Clemson Oconee County Regional Airport(CEU/KCEU)
"Tuesday, Mar 12",,,,,,,Clemson Oconee County Regional Airport(CEU/KCEU)
08:30,,Sherman (PNX)-,-,C25M (N725CG),,Departed 08:52,Clemson Oconee County Regional Airport(CEU/KCEU),"Tuesday, Mar 12 2024"
14:10,,Savannah (SAV)-,-,P32R (N53392),,Departed 14:17,Clemson Oconee County Regional Airport(CEU/KCEU),"Tuesday, Mar 12 2024"
15:00,LXJ464,Kissimmee (ISM)-,Flexjet -,GLF4 (N464FX),,Departed 15:26,Clemson Oconee County Regional Airport(CEU/KCEU),"Tuesday, Mar 12 2024"
15:15,VET430,St. Louis (STL)-,-,C560 (N430AM),,Departed 15:54,Clemson Oconee County Regional Airport(CEU/KCEU),"Tuesday, Mar 12 2024"
23:43,,Greenville-Spartanburg (GSP)-,-,C560 (N430AM),,Departed 00:10,Clemson Oconee County Regional Airport(CEU/KCEU),"Tuesday, Mar 12 2024"
"Wednesday, Mar 13",,,,,,,Clemson Oconee County Regional Airport(CEU/KCEU)
12:00,EJA906,Columbia (CAE)-,NetJets -,() -,,Estimated dep.  12:06,Clemson Oconee County Regional Airport(CEU/KCEU),"Wednesday, Mar 13 2024"
14:30,EJA390,Washington (IAD)-,NetJets -,E55P (),,Estimated dep.  14:36,Clemson Oconee County Regional Airport(CEU/KCEU),"Wednesday, Mar 13 2024"
Loading later flights...,,,,,,,Clemson Oconee County Regional Airport(CEU/KCEU),"Wednesday, Mar 13 2024"
* All times are in local timezone,,,,,,,Clemson Oconee County Regional Airport(CEU/KCEU),"Wednesday, Mar 13 2024"
