Load earlier flights,,,,,,,Coldfoot Airport(CXF/PACX)
Loading...,,,,,,,Coldfoot Airport(CXF/PACX)
"Sorry, we don't have any information about flights for this airport",,,,,,,Coldfoot Airport(CXF/PACX)
Departed 10:40 10:30  Fairbanks(FAI) PA31N42WP -,,,,,,,Coldfoot Airport(CXF/PACX)
Departed 10:57 11:00  Fairbanks(FAI) PA31N234CE -,,,,,,,Coldfoot Airport(CXF/PACX)
Departed 15:40 15:30  Fairbanks(FAI) PA31N42WP -,,,,,,,Coldfoot Airport(CXF/PACX)
Departed 10:40 10:30  Fairbanks(FAI) PA31N42WP -,,,,,,,Coldfoot Airport(CXF/PACX)
Departed 10:57 11:00  Fairbanks(FAI) PA31N234CE -,,,,,,,Coldfoot Airport(CXF/PACX)
Departed 15:40 15:30  Fairbanks(FAI) PA31N42WP -,,,,,,,Coldfoot Airport(CXF/PACX)
Departed 10:40 10:30  Fairbanks(FAI) PA31N42WP -,,,,,,,Coldfoot Airport(CXF/PACX)
Departed 10:57 11:00  Fairbanks(FAI) PA31N234CE -,,,,,,,Coldfoot Airport(CXF/PACX)
Departed 15:40 15:30  Fairbanks(FAI) PA31N42WP -,,,,,,,Coldfoot Airport(CXF/PACX)
Departed 10:40 10:30  Fairbanks(FAI) PA31N42WP -,,,,,,,Coldfoot Airport(CXF/PACX)
Departed 10:57 11:00  Fairbanks(FAI) PA31N234CE -,,,,,,,Coldfoot Airport(CXF/PACX)
Departed 15:40 15:30  Fairbanks(FAI) PA31N42WP -,,,,,,,Coldfoot Airport(CXF/PACX)
Departed 10:40 10:30  Fairbanks(FAI) PA31N42WP -,,,,,,,Coldfoot Airport(CXF/PACX)
Departed 10:57 11:00  Fairbanks(FAI) PA31N234CE -,,,,,,,Coldfoot Airport(CXF/PACX)
Departed 15:40 15:30  Fairbanks(FAI) PA31N42WP -,,,,,,,Coldfoot Airport(CXF/PACX)
"Tuesday, Mar 12",,,,,,,Coldfoot Airport(CXF/PACX)
10:30,,Fairbanks (FAI)-,-,PA31 (N42WP),,Departed 10:40,Coldfoot Airport(CXF/PACX),"Tuesday, Mar 12 2024"
11:00,,Fairbanks (FAI)-,-,PA31 (N234CE),,Departed 10:57,Coldfoot Airport(CXF/PACX),"Tuesday, Mar 12 2024"
15:30,,Fairbanks (FAI)-,-,PA31 (N42WP),,Departed 15:40,Coldfoot Airport(CXF/PACX),"Tuesday, Mar 12 2024"
10:30,,Fairbanks (FAI)-,-,PA31 (N42WP),,Departed 10:40,Coldfoot Airport(CXF/PACX),"Tuesday, Mar 12 2024"
11:00,,Fairbanks (FAI)-,-,PA31 (N234CE),,Departed 10:57,Coldfoot Airport(CXF/PACX),"Tuesday, Mar 12 2024"
15:30,,Fairbanks (FAI)-,-,PA31 (N42WP),,Departed 15:40,Coldfoot Airport(CXF/PACX),"Tuesday, Mar 12 2024"
10:30,,Fairbanks (FAI)-,-,PA31 (N42WP),,Departed 10:40,Coldfoot Airport(CXF/PACX),"Tuesday, Mar 12 2024"
11:00,,Fairbanks (FAI)-,-,PA31 (N234CE),,Departed 10:57,Coldfoot Airport(CXF/PACX),"Tuesday, Mar 12 2024"
15:30,,Fairbanks (FAI)-,-,PA31 (N42WP),,Departed 15:40,Coldfoot Airport(CXF/PACX),"Tuesday, Mar 12 2024"
10:30,,Fairbanks (FAI)-,-,PA31 (N42WP),,Departed 10:40,Coldfoot Airport(CXF/PACX),"Tuesday, Mar 12 2024"
11:00,,Fairbanks (FAI)-,-,PA31 (N234CE),,Departed 10:57,Coldfoot Airport(CXF/PACX),"Tuesday, Mar 12 2024"
15:30,,Fairbanks (FAI)-,-,PA31 (N42WP),,Departed 15:40,Coldfoot Airport(CXF/PACX),"Tuesday, Mar 12 2024"
10:30,,Fairbanks (FAI)-,-,PA31 (N42WP),,Departed 10:40,Coldfoot Airport(CXF/PACX),"Tuesday, Mar 12 2024"
11:00,,Fairbanks (FAI)-,-,PA31 (N234CE),,Departed 10:57,Coldfoot Airport(CXF/PACX),"Tuesday, Mar 12 2024"
15:30,,Fairbanks (FAI)-,-,PA31 (N42WP),,Departed 15:40,Coldfoot Airport(CXF/PACX),"Tuesday, Mar 12 2024"
Load later flights,,,,,,,Coldfoot Airport(CXF/PACX),"Tuesday, Mar 12 2024"
* All times are in local timezone,,,,,,,Coldfoot Airport(CXF/PACX),"Tuesday, Mar 12 2024"
