Load earlier flights,,,,,,,Danbury Municipal Airport(DXR/KDXR)
Loading...,,,,,,,Danbury Municipal Airport(DXR/KDXR)
"Sorry, we don't have any information about flights for this airport",,,,,,,Danbury Municipal Airport(DXR/KDXR)
Departed 15:42 15:30  Bedford(BED) SR22N769KV -,,,,,,,Danbury Municipal Airport(DXR/KDXR)
Departed 15:42 15:30  Bedford(BED) SR22N769KV -,,,,,,,Danbury Municipal Airport(DXR/KDXR)
Departed 15:42 15:30  Bedford(BED) SR22N769KV -,,,,,,,Danbury Municipal Airport(DXR/KDXR)
Departed 15:42 15:30  Bedford(BED) SR22N769KV -,,,,,,,Danbury Municipal Airport(DXR/KDXR)
Departed 15:42 15:30  Bedford(BED) SR22N769KV -,,,,,,,Danbury Municipal Airport(DXR/KDXR)
Estimated dep.  07:10 07:00 RLI379 New London(GON) C525Reliant Air -,,,,,,,Danbury Municipal Airport(DXR/KDXR)
Estimated dep.  07:10 07:00 RLI379 New London(GON) C525Reliant Air -,,,,,,,Danbury Municipal Airport(DXR/KDXR)
Estimated dep.  07:10 07:00 RLI379 New London(GON) C525Reliant Air -,,,,,,,Danbury Municipal Airport(DXR/KDXR)
Estimated dep.  07:10 07:00 RLI379 New London(GON) C525Reliant Air -,,,,,,,Danbury Municipal Airport(DXR/KDXR)
Estimated dep.  07:10 07:00 RLI379 New London(GON) C525Reliant Air -,,,,,,,Danbury Municipal Airport(DXR/KDXR)
Estimated dep.  07:10 07:00 RLI379 New London(GON) C525Reliant Air -,,,,,,,Danbury Municipal Airport(DXR/KDXR)
"Tuesday, Mar 12",,,,,,,Danbury Municipal Airport(DXR/KDXR)
15:30,,Bedford (BED)-,-,SR22 (N769KV),,Departed 15:42,Danbury Municipal Airport(DXR/KDXR),"Tuesday, Mar 12 2024"
15:30,,Bedford (BED)-,-,SR22 (N769KV),,Departed 15:42,Danbury Municipal Airport(DXR/KDXR),"Tuesday, Mar 12 2024"
15:30,,Bedford (BED)-,-,SR22 (N769KV),,Departed 15:42,Danbury Municipal Airport(DXR/KDXR),"Tuesday, Mar 12 2024"
15:30,,Bedford (BED)-,-,SR22 (N769KV),,Departed 15:42,Danbury Municipal Airport(DXR/KDXR),"Tuesday, Mar 12 2024"
15:30,,Bedford (BED)-,-,SR22 (N769KV),,Departed 15:42,Danbury Municipal Airport(DXR/KDXR),"Tuesday, Mar 12 2024"
"Wednesday, Mar 13",,,,,,,Danbury Municipal Airport(DXR/KDXR)
07:00,RLI379,New London (GON)-,Reliant Air -,C525 (),,Estimated dep.  07:10,Danbury Municipal Airport(DXR/KDXR),"Wednesday, Mar 13 2024"
07:00,RLI379,New London (GON)-,Reliant Air -,C525 (),,Estimated dep.  07:10,Danbury Municipal Airport(DXR/KDXR),"Wednesday, Mar 13 2024"
07:00,RLI379,New London (GON)-,Reliant Air -,C525 (),,Estimated dep.  07:10,Danbury Municipal Airport(DXR/KDXR),"Wednesday, Mar 13 2024"
07:00,RLI379,New London (GON)-,Reliant Air -,C525 (),,Estimated dep.  07:10,Danbury Municipal Airport(DXR/KDXR),"Wednesday, Mar 13 2024"
07:00,RLI379,New London (GON)-,Reliant Air -,C525 (),,Estimated dep.  07:10,Danbury Municipal Airport(DXR/KDXR),"Wednesday, Mar 13 2024"
07:00,RLI379,New London (GON)-,Reliant Air -,C525 (),,Estimated dep.  07:10,Danbury Municipal Airport(DXR/KDXR),"Wednesday, Mar 13 2024"
Load later flights,,,,,,,Danbury Municipal Airport(DXR/KDXR),"Wednesday, Mar 13 2024"
* All times are in local timezone,,,,,,,Danbury Municipal Airport(DXR/KDXR),"Wednesday, Mar 13 2024"
