Load earlier flights,,,,,,,Davenport Municipal Airport(DVN/KDVN)
Loading...,,,,,,,Davenport Municipal Airport(DVN/KDVN)
"Sorry, we don't have any information about flights for this airport",,,,,,,Davenport Municipal Airport(DVN/KDVN)
Departed 06:08 06:00  Tallahassee(TLH) B350N30MY -,,,,,,,Davenport Municipal Airport(DVN/KDVN)
Departed 15:39 15:25  Davenport(DVN) P28AN800VV -,,,,,,,Davenport Municipal Airport(DVN/KDVN)
Departed 16:10 16:00  Columbia(COU) P32RN559MA -,,,,,,,Davenport Municipal Airport(DVN/KDVN)
Departed 06:08 06:00  Tallahassee(TLH) B350N30MY -,,,,,,,Davenport Municipal Airport(DVN/KDVN)
Departed 15:39 15:25  Davenport(DVN) P28AN800VV -,,,,,,,Davenport Municipal Airport(DVN/KDVN)
Departed 16:10 16:00  Columbia(COU) P32RN559MA -,,,,,,,Davenport Municipal Airport(DVN/KDVN)
Departed 06:08 06:00  Tallahassee(TLH) B350N30MY -,,,,,,,Davenport Municipal Airport(DVN/KDVN)
Departed 15:39 15:25  Davenport(DVN) P28AN800VV -,,,,,,,Davenport Municipal Airport(DVN/KDVN)
Departed 16:10 16:00  Columbia(COU) P32RN559MA -,,,,,,,Davenport Municipal Airport(DVN/KDVN)
Departed 06:08 06:00  Tallahassee(TLH) B350N30MY -,,,,,,,Davenport Municipal Airport(DVN/KDVN)
Departed 15:39 15:25  Davenport(DVN) P28AN800VV -,,,,,,,Davenport Municipal Airport(DVN/KDVN)
Departed 16:10 16:00  Columbia(COU) P32RN559MA -,,,,,,,Davenport Municipal Airport(DVN/KDVN)
Departed 06:08 06:00  Tallahassee(TLH) B350N30MY -,,,,,,,Davenport Municipal Airport(DVN/KDVN)
Departed 15:39 15:25  Davenport(DVN) P28AN800VV -,,,,,,,Davenport Municipal Airport(DVN/KDVN)
Departed 16:10 16:00  Columbia(COU) P32RN559MA -,,,,,,,Davenport Municipal Airport(DVN/KDVN)
"Tuesday, Mar 12",,,,,,,Davenport Municipal Airport(DVN/KDVN)
06:00,,Tallahassee (TLH)-,-,B350 (N30MY),,Departed 06:08,Davenport Municipal Airport(DVN/KDVN),"Tuesday, Mar 12 2024"
15:25,,Davenport (DVN)-,-,P28A (N800VV),,Departed 15:39,Davenport Municipal Airport(DVN/KDVN),"Tuesday, Mar 12 2024"
16:00,,Columbia (COU)-,-,P32R (N559MA),,Departed 16:10,Davenport Municipal Airport(DVN/KDVN),"Tuesday, Mar 12 2024"
06:00,,Tallahassee (TLH)-,-,B350 (N30MY),,Departed 06:08,Davenport Municipal Airport(DVN/KDVN),"Tuesday, Mar 12 2024"
15:25,,Davenport (DVN)-,-,P28A (N800VV),,Departed 15:39,Davenport Municipal Airport(DVN/KDVN),"Tuesday, Mar 12 2024"
16:00,,Columbia (COU)-,-,P32R (N559MA),,Departed 16:10,Davenport Municipal Airport(DVN/KDVN),"Tuesday, Mar 12 2024"
06:00,,Tallahassee (TLH)-,-,B350 (N30MY),,Departed 06:08,Davenport Municipal Airport(DVN/KDVN),"Tuesday, Mar 12 2024"
15:25,,Davenport (DVN)-,-,P28A (N800VV),,Departed 15:39,Davenport Municipal Airport(DVN/KDVN),"Tuesday, Mar 12 2024"
16:00,,Columbia (COU)-,-,P32R (N559MA),,Departed 16:10,Davenport Municipal Airport(DVN/KDVN),"Tuesday, Mar 12 2024"
06:00,,Tallahassee (TLH)-,-,B350 (N30MY),,Departed 06:08,Davenport Municipal Airport(DVN/KDVN),"Tuesday, Mar 12 2024"
15:25,,Davenport (DVN)-,-,P28A (N800VV),,Departed 15:39,Davenport Municipal Airport(DVN/KDVN),"Tuesday, Mar 12 2024"
16:00,,Columbia (COU)-,-,P32R (N559MA),,Departed 16:10,Davenport Municipal Airport(DVN/KDVN),"Tuesday, Mar 12 2024"
06:00,,Tallahassee (TLH)-,-,B350 (N30MY),,Departed 06:08,Davenport Municipal Airport(DVN/KDVN),"Tuesday, Mar 12 2024"
15:25,,Davenport (DVN)-,-,P28A (N800VV),,Departed 15:39,Davenport Municipal Airport(DVN/KDVN),"Tuesday, Mar 12 2024"
16:00,,Columbia (COU)-,-,P32R (N559MA),,Departed 16:10,Davenport Municipal Airport(DVN/KDVN),"Tuesday, Mar 12 2024"
Load later flights,,,,,,,Davenport Municipal Airport(DVN/KDVN),"Tuesday, Mar 12 2024"
* All times are in local timezone,,,,,,,Davenport Municipal Airport(DVN/KDVN),"Tuesday, Mar 12 2024"
