Load earlier flights,,,,,,,Georgetown Municipal Airport(QTG/KGTU)
Loading...,,,,,,,Georgetown Municipal Airport(QTG/KGTU)
"Sorry, we don't have any information about flights for this airport",,,,,,,Georgetown Municipal Airport(QTG/KGTU)
Departed 08:00 08:01  Waco(QTW) P28AN413KT -,,,,,,,Georgetown Municipal Airport(QTG/KGTU)
Departed 08:41 08:30  Abilene(ABI) M20PN5801N -,,,,,,,Georgetown Municipal Airport(QTG/KGTU)
Departed 10:03 09:50  Georgetown(QTG) P28AN4507N -,,,,,,,Georgetown Municipal Airport(QTG/KGTU)
Departed 10:22 10:20  Georgetown(QTG) C172N5327G -,,,,,,,Georgetown Municipal Airport(QTG/KGTU)
Departed 10:16 10:30  Georgetown(QTG) P28AN8405M -,,,,,,,Georgetown Municipal Airport(QTG/KGTU)
Departed 10:47 10:30  Georgetown(QTG) BE35N1389Z -,,,,,,,Georgetown Municipal Airport(QTG/KGTU)
Departed 11:34 11:05  Houston(IWS) C208N987RA -,,,,,,,Georgetown Municipal Airport(QTG/KGTU)
Departed 11:31 11:35  Georgetown(QTG) P28AN82554 -,,,,,,,Georgetown Municipal Airport(QTG/KGTU)
Departed 13:24 12:00  Conroe(CXO) C182N9148M -,,,,,,,Georgetown Municipal Airport(QTG/KGTU)
Departed 12:13 12:10 ASI7059 Conroe(CXO) PA44N316PAAeroGuard Flight Training Center -,,,,,,,Georgetown Municipal Airport(QTG/KGTU)
Departed 12:38 12:35 ASI633 Georgetown(QTG) P28AN742PAAeroGuard Flight Training Center -,,,,,,,Georgetown Municipal Airport(QTG/KGTU)
Departed 13:02 13:10  Fort Worth(FTW) C182N705DB -,,,,,,,Georgetown Municipal Airport(QTG/KGTU)
Departed 13:16 13:30  Houston(DWH) M20PN249SA -,,,,,,,Georgetown Municipal Airport(QTG/KGTU)
Departed 14:59 14:47 ASI633 Georgetown(QTG) P28AN742PAAeroGuard Flight Training Center -,,,,,,,Georgetown Municipal Airport(QTG/KGTU)
Departed 18:20 18:35  Georgetown(QTG) P28AN30126 -,,,,,,,Georgetown Municipal Airport(QTG/KGTU)
Departed 20:36 20:30  Houston(DWH) P28AN9040K -,,,,,,,Georgetown Municipal Airport(QTG/KGTU)
Departed 08:00 08:01  Waco(QTW) P28AN413KT -,,,,,,,Georgetown Municipal Airport(QTG/KGTU)
Departed 08:41 08:30  Abilene(ABI) M20PN5801N -,,,,,,,Georgetown Municipal Airport(QTG/KGTU)
Departed 10:03 09:50  Georgetown(QTG) P28AN4507N -,,,,,,,Georgetown Municipal Airport(QTG/KGTU)
Departed 10:22 10:20  Georgetown(QTG) C172N5327G -,,,,,,,Georgetown Municipal Airport(QTG/KGTU)
Departed 10:16 10:30  Georgetown(QTG) P28AN8405M -,,,,,,,Georgetown Municipal Airport(QTG/KGTU)
