Load earlier flights,,,,,,,Immokalee Regional Airport(IMM/KIMM)
Loading...,,,,,,,Immokalee Regional Airport(IMM/KIMM)
"Sorry, we don't have any information about flights for this airport",,,,,,,Immokalee Regional Airport(IMM/KIMM)
Departed 07:54 07:30  Coatesville(CTH) PA46N646HC -,,,,,,,Immokalee Regional Airport(IMM/KIMM)
Departed 14:05 13:35  Montgomery(MGM) S22TN703EL -,,,,,,,Immokalee Regional Airport(IMM/KIMM)
Departed 07:54 07:30  Coatesville(CTH) PA46N646HC -,,,,,,,Immokalee Regional Airport(IMM/KIMM)
Departed 14:05 13:35  Montgomery(MGM) S22TN703EL -,,,,,,,Immokalee Regional Airport(IMM/KIMM)
Departed 07:54 07:30  Coatesville(CTH) PA46N646HC -,,,,,,,Immokalee Regional Airport(IMM/KIMM)
Departed 14:05 13:35  Montgomery(MGM) S22TN703EL -,,,,,,,Immokalee Regional Airport(IMM/KIMM)
Departed 07:54 07:30  Coatesville(CTH) PA46N646HC -,,,,,,,Immokalee Regional Airport(IMM/KIMM)
Departed 14:05 13:35  Montgomery(MGM) S22TN703EL -,,,,,,,Immokalee Regional Airport(IMM/KIMM)
Departed 07:54 07:30  Coatesville(CTH) PA46N646HC -,,,,,,,Immokalee Regional Airport(IMM/KIMM)
Departed 14:05 13:35  Montgomery(MGM) S22TN703EL -,,,,,,,Immokalee Regional Airport(IMM/KIMM)
"Tuesday, Mar 12",,,,,,,Immokalee Regional Airport(IMM/KIMM)
07:30,,Coatesville (CTH)-,-,PA46 (N646HC),,Departed 07:54,Immokalee Regional Airport(IMM/KIMM),"Tuesday, Mar 12 2024"
13:35,,Montgomery (MGM)-,-,S22T (N703EL),,Departed 14:05,Immokalee Regional Airport(IMM/KIMM),"Tuesday, Mar 12 2024"
07:30,,Coatesville (CTH)-,-,PA46 (N646HC),,Departed 07:54,Immokalee Regional Airport(IMM/KIMM),"Tuesday, Mar 12 2024"
13:35,,Montgomery (MGM)-,-,S22T (N703EL),,Departed 14:05,Immokalee Regional Airport(IMM/KIMM),"Tuesday, Mar 12 2024"
07:30,,Coatesville (CTH)-,-,PA46 (N646HC),,Departed 07:54,Immokalee Regional Airport(IMM/KIMM),"Tuesday, Mar 12 2024"
13:35,,Montgomery (MGM)-,-,S22T (N703EL),,Departed 14:05,Immokalee Regional Airport(IMM/KIMM),"Tuesday, Mar 12 2024"
07:30,,Coatesville (CTH)-,-,PA46 (N646HC),,Departed 07:54,Immokalee Regional Airport(IMM/KIMM),"Tuesday, Mar 12 2024"
13:35,,Montgomery (MGM)-,-,S22T (N703EL),,Departed 14:05,Immokalee Regional Airport(IMM/KIMM),"Tuesday, Mar 12 2024"
07:30,,Coatesville (CTH)-,-,PA46 (N646HC),,Departed 07:54,Immokalee Regional Airport(IMM/KIMM),"Tuesday, Mar 12 2024"
13:35,,Montgomery (MGM)-,-,S22T (N703EL),,Departed 14:05,Immokalee Regional Airport(IMM/KIMM),"Tuesday, Mar 12 2024"
Load later flights,,,,,,,Immokalee Regional Airport(IMM/KIMM),"Tuesday, Mar 12 2024"
* All times are in local timezone,,,,,,,Immokalee Regional Airport(IMM/KIMM),"Tuesday, Mar 12 2024"
