Load earlier flights,,,,,,,Anderson Regional Airport(AND/KAND)
Loading...,,,,,,,Anderson Regional Airport(AND/KAND)
"Sorry, we don't have any information about flights for this airport",,,,,,,Anderson Regional Airport(AND/KAND)
Landed 20:03 19:49  Madison(DXE) C525N511EC -,,,,,,,Anderson Regional Airport(AND/KAND)
Landed 09:51 09:50 RAX555 Pontiac(PTK) LJ55N551RARoyal Air Freight -,,,,,,,Anderson Regional Airport(AND/KAND)
Landed 13:31 13:15  Atlanta(QTF) BE33N5924S -,,,,,,,Anderson Regional Airport(AND/KAND)
Landed 17:09 17:32  Sarasota(SRQ) BE20N61PE -,,,,,,,Anderson Regional Airport(AND/KAND)
Landed 18:24 18:36  Wapakoneta(AXV) BE58N1065BQuest Diagnostics -,,,,,,,Anderson Regional Airport(AND/KAND)
Landed 20:03 19:49  Madison(DXE) C525N511EC -,,,,,,,Anderson Regional Airport(AND/KAND)
Landed 09:51 09:50 RAX555 Pontiac(PTK) LJ55N551RARoyal Air Freight -,,,,,,,Anderson Regional Airport(AND/KAND)
Landed 13:31 13:15  Atlanta(QTF) BE33N5924S -,,,,,,,Anderson Regional Airport(AND/KAND)
Landed 17:09 17:32  Sarasota(SRQ) BE20N61PE -,,,,,,,Anderson Regional Airport(AND/KAND)
Landed 18:24 18:36  Wapakoneta(AXV) BE58N1065BQuest Diagnostics -,,,,,,,Anderson Regional Airport(AND/KAND)
Landed 20:03 19:49  Madison(DXE) C525N511EC -,,,,,,,Anderson Regional Airport(AND/KAND)
Landed 09:51 09:50 RAX555 Pontiac(PTK) LJ55N551RARoyal Air Freight -,,,,,,,Anderson Regional Airport(AND/KAND)
Landed 13:31 13:15  Atlanta(QTF) BE33N5924S -,,,,,,,Anderson Regional Airport(AND/KAND)
Landed 17:09 17:32  Sarasota(SRQ) BE20N61PE -,,,,,,,Anderson Regional Airport(AND/KAND)
Landed 18:24 18:36  Wapakoneta(AXV) BE58N1065BQuest Diagnostics -,,,,,,,Anderson Regional Airport(AND/KAND)
Landed 20:03 19:49  Madison(DXE) C525N511EC -,,,,,,,Anderson Regional Airport(AND/KAND)
Landed 09:51 09:50 RAX555 Pontiac(PTK) LJ55N551RARoyal Air Freight -,,,,,,,Anderson Regional Airport(AND/KAND)
Landed 13:31 13:15  Atlanta(QTF) BE33N5924S -,,,,,,,Anderson Regional Airport(AND/KAND)
Landed 17:09 17:32  Sarasota(SRQ) BE20N61PE -,,,,,,,Anderson Regional Airport(AND/KAND)
Landed 18:24 18:36  Wapakoneta(AXV) BE58N1065BQuest Diagnostics -,,,,,,,Anderson Regional Airport(AND/KAND)
Landed 20:03 19:49  Madison(DXE) C525N511EC -,,,,,,,Anderson Regional Airport(AND/KAND)
Landed 09:51 09:50 RAX555 Pontiac(PTK) LJ55N551RARoyal Air Freight -,,,,,,,Anderson Regional Airport(AND/KAND)
Landed 13:31 13:15  Atlanta(QTF) BE33N5924S -,,,,,,,Anderson Regional Airport(AND/KAND)
Landed 17:09 17:32  Sarasota(SRQ) BE20N61PE -,,,,,,,Anderson Regional Airport(AND/KAND)
Landed 18:24 18:36  Wapakoneta(AXV) BE58N1065BQuest Diagnostics -,,,,,,,Anderson Regional Airport(AND/KAND)
Scheduled  09:06  Naples(APF) E55PN710AX -,,,,,,,Anderson Regional Airport(AND/KAND)
Scheduled  16:05  Naples(APF) E55PN710AX -,,,,,,,Anderson Regional Airport(AND/KAND)
Scheduled  09:06  Naples(APF) E55PN710AX -,,,,,,,Anderson Regional Airport(AND/KAND)
Scheduled  16:05  Naples(APF) E55PN710AX -,,,,,,,Anderson Regional Airport(AND/KAND)
Scheduled  09:06  Naples(APF) E55PN710AX -,,,,,,,Anderson Regional Airport(AND/KAND)
Scheduled  16:05  Naples(APF) E55PN710AX -,,,,,,,Anderson Regional Airport(AND/KAND)
Scheduled  09:06  Naples(APF) E55PN710AX -,,,,,,,Anderson Regional Airport(AND/KAND)
Scheduled  16:05  Naples(APF) E55PN710AX -,,,,,,,Anderson Regional Airport(AND/KAND)
Scheduled  09:06  Naples(APF) E55PN710AX -,,,,,,,Anderson Regional Airport(AND/KAND)
Scheduled  16:05  Naples(APF) E55PN710AX -,,,,,,,Anderson Regional Airport(AND/KAND)
Scheduled  09:06  Naples(APF) E55PN710AX -,,,,,,,Anderson Regional Airport(AND/KAND)
Scheduled  16:05  Naples(APF) E55PN710AX -,,,,,,,Anderson Regional Airport(AND/KAND)
"Tuesday, Mar 12",,,,,,,Anderson Regional Airport(AND/KAND)
19:49,,Madison (DXE)-,-,C525 (N511EC),,Landed 20:03,Anderson Regional Airport(AND/KAND),"Tuesday, Mar 12 2024"
"Wednesday, Mar 13",,,,,,,Anderson Regional Airport(AND/KAND)
09:50,RAX555,Pontiac (PTK)-,Royal Air Freight -,LJ55 (N551RA),,Landed 09:51,Anderson Regional Airport(AND/KAND),"Wednesday, Mar 13 2024"
13:15,,Atlanta (QTF)-,-,BE33 (N5924S),,Landed 13:31,Anderson Regional Airport(AND/KAND),"Wednesday, Mar 13 2024"
17:32,,Sarasota (SRQ)-,-,BE20 (N61PE),,Landed 17:09,Anderson Regional Airport(AND/KAND),"Wednesday, Mar 13 2024"
18:36,,Wapakoneta (AXV)-,Quest Diagnostics -,BE58 (N1065B),,Landed 18:24,Anderson Regional Airport(AND/KAND),"Wednesday, Mar 13 2024"
"Tuesday, Mar 12",,,,,,,Anderson Regional Airport(AND/KAND)
19:49,,Madison (DXE)-,-,C525 (N511EC),,Landed 20:03,Anderson Regional Airport(AND/KAND),"Tuesday, Mar 12 2024"
"Wednesday, Mar 13",,,,,,,Anderson Regional Airport(AND/KAND)
09:50,RAX555,Pontiac (PTK)-,Royal Air Freight -,LJ55 (N551RA),,Landed 09:51,Anderson Regional Airport(AND/KAND),"Wednesday, Mar 13 2024"
13:15,,Atlanta (QTF)-,-,BE33 (N5924S),,Landed 13:31,Anderson Regional Airport(AND/KAND),"Wednesday, Mar 13 2024"
17:32,,Sarasota (SRQ)-,-,BE20 (N61PE),,Landed 17:09,Anderson Regional Airport(AND/KAND),"Wednesday, Mar 13 2024"
18:36,,Wapakoneta (AXV)-,Quest Diagnostics -,BE58 (N1065B),,Landed 18:24,Anderson Regional Airport(AND/KAND),"Wednesday, Mar 13 2024"
"Tuesday, Mar 12",,,,,,,Anderson Regional Airport(AND/KAND)
19:49,,Madison (DXE)-,-,C525 (N511EC),,Landed 20:03,Anderson Regional Airport(AND/KAND),"Tuesday, Mar 12 2024"
"Wednesday, Mar 13",,,,,,,Anderson Regional Airport(AND/KAND)
09:50,RAX555,Pontiac (PTK)-,Royal Air Freight -,LJ55 (N551RA),,Landed 09:51,Anderson Regional Airport(AND/KAND),"Wednesday, Mar 13 2024"
13:15,,Atlanta (QTF)-,-,BE33 (N5924S),,Landed 13:31,Anderson Regional Airport(AND/KAND),"Wednesday, Mar 13 2024"
17:32,,Sarasota (SRQ)-,-,BE20 (N61PE),,Landed 17:09,Anderson Regional Airport(AND/KAND),"Wednesday, Mar 13 2024"
18:36,,Wapakoneta (AXV)-,Quest Diagnostics -,BE58 (N1065B),,Landed 18:24,Anderson Regional Airport(AND/KAND),"Wednesday, Mar 13 2024"
"Tuesday, Mar 12",,,,,,,Anderson Regional Airport(AND/KAND)
19:49,,Madison (DXE)-,-,C525 (N511EC),,Landed 20:03,Anderson Regional Airport(AND/KAND),"Tuesday, Mar 12 2024"
"Wednesday, Mar 13",,,,,,,Anderson Regional Airport(AND/KAND)
09:50,RAX555,Pontiac (PTK)-,Royal Air Freight -,LJ55 (N551RA),,Landed 09:51,Anderson Regional Airport(AND/KAND),"Wednesday, Mar 13 2024"
13:15,,Atlanta (QTF)-,-,BE33 (N5924S),,Landed 13:31,Anderson Regional Airport(AND/KAND),"Wednesday, Mar 13 2024"
17:32,,Sarasota (SRQ)-,-,BE20 (N61PE),,Landed 17:09,Anderson Regional Airport(AND/KAND),"Wednesday, Mar 13 2024"
18:36,,Wapakoneta (AXV)-,Quest Diagnostics -,BE58 (N1065B),,Landed 18:24,Anderson Regional Airport(AND/KAND),"Wednesday, Mar 13 2024"
"Tuesday, Mar 12",,,,,,,Anderson Regional Airport(AND/KAND)
19:49,,Madison (DXE)-,-,C525 (N511EC),,Landed 20:03,Anderson Regional Airport(AND/KAND),"Tuesday, Mar 12 2024"
"Wednesday, Mar 13",,,,,,,Anderson Regional Airport(AND/KAND)
09:50,RAX555,Pontiac (PTK)-,Royal Air Freight -,LJ55 (N551RA),,Landed 09:51,Anderson Regional Airport(AND/KAND),"Wednesday, Mar 13 2024"
13:15,,Atlanta (QTF)-,-,BE33 (N5924S),,Landed 13:31,Anderson Regional Airport(AND/KAND),"Wednesday, Mar 13 2024"
17:32,,Sarasota (SRQ)-,-,BE20 (N61PE),,Landed 17:09,Anderson Regional Airport(AND/KAND),"Wednesday, Mar 13 2024"
