Load earlier flights,,,,,,,Astoria Regional Airport(AST/KAST)
Loading...,,,,,,,Astoria Regional Airport(AST/KAST)
"Sorry, we don't have any information about flights for this airport",,,,,,,Astoria Regional Airport(AST/KAST)
Unknown  16:49 A81991 Tillamook(OTK) BE99N8226ZAmeriflight -,,,,,,,Astoria Regional Airport(AST/KAST)
Canceled  00:03  Portland(HIO) C172N62348 -,,,,,,,Astoria Regional Airport(AST/KAST)
Diverted to  CLS  14:15  Bremerton(PWT) M20PN977DS -,,,,,,,Astoria Regional Airport(AST/KAST)
Landed 14:12 15:06  Seattle(BFI) F900C-FJSU -,,,,,,,Astoria Regional Airport(AST/KAST)
Diverted to  PDX  16:52 A81991 Tillamook(OTK) BE99N8226ZAmeriflight -,,,,,,,Astoria Regional Airport(AST/KAST)
Unknown  16:49 A81991 Tillamook(OTK) BE99N8226ZAmeriflight -,,,,,,,Astoria Regional Airport(AST/KAST)
Canceled  00:03  Portland(HIO) C172N62348 -,,,,,,,Astoria Regional Airport(AST/KAST)
Diverted to  CLS  14:15  Bremerton(PWT) M20PN977DS -,,,,,,,Astoria Regional Airport(AST/KAST)
Landed 14:12 15:06  Seattle(BFI) F900C-FJSU -,,,,,,,Astoria Regional Airport(AST/KAST)
Diverted to  PDX  16:52 A81991 Tillamook(OTK) BE99N8226ZAmeriflight -,,,,,,,Astoria Regional Airport(AST/KAST)
Unknown  16:49 A81991 Tillamook(OTK) BE99N8226ZAmeriflight -,,,,,,,Astoria Regional Airport(AST/KAST)
Canceled  00:03  Portland(HIO) C172N62348 -,,,,,,,Astoria Regional Airport(AST/KAST)
Diverted to  CLS  14:15  Bremerton(PWT) M20PN977DS -,,,,,,,Astoria Regional Airport(AST/KAST)
Landed 14:12 15:06  Seattle(BFI) F900C-FJSU -,,,,,,,Astoria Regional Airport(AST/KAST)
Diverted to  PDX  16:52 A81991 Tillamook(OTK) BE99N8226ZAmeriflight -,,,,,,,Astoria Regional Airport(AST/KAST)
Unknown  16:49 A81991 Tillamook(OTK) BE99N8226ZAmeriflight -,,,,,,,Astoria Regional Airport(AST/KAST)
Canceled  00:03  Portland(HIO) C172N62348 -,,,,,,,Astoria Regional Airport(AST/KAST)
Diverted to  CLS  14:15  Bremerton(PWT) M20PN977DS -,,,,,,,Astoria Regional Airport(AST/KAST)
Landed 14:12 15:06  Seattle(BFI) F900C-FJSU -,,,,,,,Astoria Regional Airport(AST/KAST)
Diverted to  PDX  16:52 A81991 Tillamook(OTK) BE99N8226ZAmeriflight -,,,,,,,Astoria Regional Airport(AST/KAST)
Unknown  16:49 A81991 Tillamook(OTK) BE99N8226ZAmeriflight -,,,,,,,Astoria Regional Airport(AST/KAST)
Canceled  00:03  Portland(HIO) C172N62348 -,,,,,,,Astoria Regional Airport(AST/KAST)
Diverted to  CLS  14:15  Bremerton(PWT) M20PN977DS -,,,,,,,Astoria Regional Airport(AST/KAST)
Landed 14:12 15:06  Seattle(BFI) F900C-FJSU -,,,,,,,Astoria Regional Airport(AST/KAST)
Diverted to  PDX  16:52 A81991 Tillamook(OTK) BE99N8226ZAmeriflight -,,,,,,,Astoria Regional Airport(AST/KAST)
"Tuesday, Mar 12",,,,,,,Astoria Regional Airport(AST/KAST)
16:49,A81991,Tillamook (OTK)-,Ameriflight -,BE99 (N8226Z),,Unknown,Astoria Regional Airport(AST/KAST),"Tuesday, Mar 12 2024"
"Wednesday, Mar 13",,,,,,,Astoria Regional Airport(AST/KAST)
00:03,,Portland (HIO)-,-,C172 (N62348),,Canceled,Astoria Regional Airport(AST/KAST),"Wednesday, Mar 13 2024"
14:15,,Bremerton (PWT)-,-,M20P (N977DS),,Diverted to  CLS,Astoria Regional Airport(AST/KAST),"Wednesday, Mar 13 2024"
15:06,,Seattle (BFI)-,-,F900 (C-FJSU),,Landed 14:12,Astoria Regional Airport(AST/KAST),"Wednesday, Mar 13 2024"
16:52,A81991,Tillamook (OTK)-,Ameriflight -,BE99 (N8226Z),,Diverted to  PDX,Astoria Regional Airport(AST/KAST),"Wednesday, Mar 13 2024"
"Tuesday, Mar 12",,,,,,,Astoria Regional Airport(AST/KAST)
16:49,A81991,Tillamook (OTK)-,Ameriflight -,BE99 (N8226Z),,Unknown,Astoria Regional Airport(AST/KAST),"Tuesday, Mar 12 2024"
"Wednesday, Mar 13",,,,,,,Astoria Regional Airport(AST/KAST)
00:03,,Portland (HIO)-,-,C172 (N62348),,Canceled,Astoria Regional Airport(AST/KAST),"Wednesday, Mar 13 2024"
14:15,,Bremerton (PWT)-,-,M20P (N977DS),,Diverted to  CLS,Astoria Regional Airport(AST/KAST),"Wednesday, Mar 13 2024"
15:06,,Seattle (BFI)-,-,F900 (C-FJSU),,Landed 14:12,Astoria Regional Airport(AST/KAST),"Wednesday, Mar 13 2024"
16:52,A81991,Tillamook (OTK)-,Ameriflight -,BE99 (N8226Z),,Diverted to  PDX,Astoria Regional Airport(AST/KAST),"Wednesday, Mar 13 2024"
"Tuesday, Mar 12",,,,,,,Astoria Regional Airport(AST/KAST)
16:49,A81991,Tillamook (OTK)-,Ameriflight -,BE99 (N8226Z),,Unknown,Astoria Regional Airport(AST/KAST),"Tuesday, Mar 12 2024"
"Wednesday, Mar 13",,,,,,,Astoria Regional Airport(AST/KAST)
00:03,,Portland (HIO)-,-,C172 (N62348),,Canceled,Astoria Regional Airport(AST/KAST),"Wednesday, Mar 13 2024"
14:15,,Bremerton (PWT)-,-,M20P (N977DS),,Diverted to  CLS,Astoria Regional Airport(AST/KAST),"Wednesday, Mar 13 2024"
15:06,,Seattle (BFI)-,-,F900 (C-FJSU),,Landed 14:12,Astoria Regional Airport(AST/KAST),"Wednesday, Mar 13 2024"
16:52,A81991,Tillamook (OTK)-,Ameriflight -,BE99 (N8226Z),,Diverted to  PDX,Astoria Regional Airport(AST/KAST),"Wednesday, Mar 13 2024"
"Tuesday, Mar 12",,,,,,,Astoria Regional Airport(AST/KAST)
16:49,A81991,Tillamook (OTK)-,Ameriflight -,BE99 (N8226Z),,Unknown,Astoria Regional Airport(AST/KAST),"Tuesday, Mar 12 2024"
"Wednesday, Mar 13",,,,,,,Astoria Regional Airport(AST/KAST)
00:03,,Portland (HIO)-,-,C172 (N62348),,Canceled,Astoria Regional Airport(AST/KAST),"Wednesday, Mar 13 2024"
14:15,,Bremerton (PWT)-,-,M20P (N977DS),,Diverted to  CLS,Astoria Regional Airport(AST/KAST),"Wednesday, Mar 13 2024"
