Day,Airport_id,Date,Wind speed,Temperature,Visibility,Time,Wind direction,Dew point,Pressure,Wind gust
14th,ADT/KADH,2024-03-11 08:55:00,12kt,21°C,10 SM,07:55 UTC,160°,18°C,29.68 inHg,18kt
14th,ADT/KADH,2024-03-11 08:55:00,10kt,20°C,10 SM,07:15 UTC,160°,18°C,29.68 inHg,17kt
14th,ADT/KADH,2024-03-11 08:55:00,14kt,20°C,10 SM,05:55 UTC,160°,17°C,29.68 inHg,19kt
14th,ADT/KADH,2024-03-11 08:55:00,14kt,21°C,10 SM,05:15 UTC,160°,17°C,29.69 inHg,20kt
14th,ADT/KADH,2024-03-11 08:55:00,14kt,21°C,10 SM,04:55 UTC,160°,17°C,29.68 inHg,22kt
14th,ADT/KADH,2024-03-11 08:55:00,12kt,21°C,10 SM,04:15 UTC,160°,17°C,29.7 inHg,18kt
14th,ADT/KADH,2024-03-11 08:55:00,12kt,21°C,10 SM,03:55 UTC,160°,17°C,29.69 inHg,20kt
14th,ADT/KADH,2024-03-11 08:55:00,14kt,21°C,10 SM,03:15 UTC,160°,17°C,29.69 inHg,21kt
14th,ADT/KADH,2024-03-11 08:55:00,13kt,21°C,10 SM,02:55 UTC,160°,17°C,29.68 inHg,22kt
14th,ADT/KADH,2024-03-11 08:55:00,14kt,22°C,10 SM,02:15 UTC,160°,17°C,29.68 inHg,22kt
14th,ADT/KADH,2024-03-11 08:55:00,11kt,22°C,10 SM,01:55 UTC,150°,16°C,29.68 inHg,20kt
14th,ADT/KADH,2024-03-11 08:55:00,13kt,22°C,10 SM,01:15 UTC,160°,16°C,29.67 inHg,19kt
14th,ADT/KADH,2024-03-11 08:55:00,14kt,23°C,10 SM,00:55 UTC,160°,16°C,29.66 inHg,21kt
14th,ADT/KADH,2024-03-11 08:55:00,16kt,25°C,10 SM,00:15 UTC,150°,16°C,29.65 inHg,25kt
13th,ADT/KADH,2024-03-11 08:55:00,14kt,25°C,10 SM,23:55 UTC,160°,16°C,29.65 inHg,26kt
13th,ADT/KADH,2024-03-11 08:55:00,11kt,25°C,10 SM,23:15 UTC,160°,17°C,29.64 inHg,17kt
13th,ADT/KADH,2024-03-11 08:55:00,17kt,27°C,10 SM,22:35 UTC,170°,16°C,29.63 inHg,25kt
13th,ADT/KADH,2024-03-11 08:55:00,13kt,27°C,10 SM,22:15 UTC,180°,16°C,29.64 inHg,22kt
13th,ADT/KADH,2024-03-11 08:55:00,12kt,27°C,10 SM,21:35 UTC,160°,16°C,29.65 inHg,23kt
13th,ADT/KADH,2024-03-11 08:55:00,13kt,28°C,10 SM,21:15 UTC,180°,16°C,29.66 inHg,23kt
13th,ADT/KADH,2024-03-11 08:55:00,14kt,27°C,10 SM,20:55 UTC,170°,16°C,29.66 inHg,23kt
13th,ADT/KADH,2024-03-11 08:55:00,15kt,27°C,10 SM,20:15 UTC,150°,17°C,29.67 inHg,21kt
13th,ADT/KADH,2024-03-11 08:55:00,11kt,26°C,10 SM,19:35 UTC,170°,16°C,29.69 inHg,21kt
13th,ADT/KADH,2024-03-11 08:55:00,16kt,26°C,10 SM,19:15 UTC,160°,16°C,29.7 inHg,21kt
13th,ADT/KADH,2024-03-11 08:55:00,12kt,25°C,10 SM,18:55 UTC,180°,16°C,29.71 inHg,20kt
13th,ADT/KADH,2024-03-11 08:55:00,12kt,24°C,10 SM,18:15 UTC,170°,17°C,29.73 inHg,25kt
13th,ADT/KADH,2024-03-11 08:55:00,16kt,24°C,10 SM,17:35 UTC,150°,17°C,29.75 inHg,20kt
13th,ADT/KADH,2024-03-11 08:55:00,13kt,24°C,10 SM,17:15 UTC,160°,16°C,29.76 inHg,24kt
13th,ADT/KADH,2024-03-11 08:55:00,11kt,23°C,10 SM,16:55 UTC,170°,16°C,29.77 inHg,18kt
