Day,Airport_id,Date,Wind speed,Temperature,Visibility,Time,Wind direction,Dew point,Pressure,Wind gust
14th,ADK/PADK,2024-03-11 08:29:00,7kt,0°C,10 SM,07:56 UTC,120°,-5°C,30.15 inHg,
14th,ADK/PADK,2024-03-11 08:29:00,6kt,0°C,10 SM,07:30 UTC,130°,-5°C,30.16 inHg,
14th,ADK/PADK,2024-03-11 08:29:00,6kt,0°C,10 SM,05:56 UTC,120°,-5°C,30.17 inHg,
14th,ADK/PADK,2024-03-11 08:29:00,6kt,0°C,10 SM,04:56 UTC,140°,-6°C,30.18 inHg,
14th,ADK/PADK,2024-03-11 08:29:00,5kt,1°C,10 SM,03:56 UTC,150°,-5°C,30.19 inHg,
14th,ADK/PADK,2024-03-11 08:29:00,0kt,1°C,10 SM,02:56 UTC,0°,-6°C,30.21 inHg,
14th,ADK/PADK,2024-03-11 08:29:00,5kt,1°C,10 SM,01:56 UTC,60°,-5°C,30.2 inHg,
14th,ADK/PADK,2024-03-11 08:29:00,10kt,1°C,10 SM,00:56 UTC,80°,-6°C,30.19 inHg,
13th,ADK/PADK,2024-03-11 08:29:00,10kt,1°C,10 SM,23:56 UTC,40°,-5°C,30.18 inHg,
13th,ADK/PADK,2024-03-11 08:29:00,10kt,1°C,10 SM,23:14 UTC,80°,-5°C,30.18 inHg,
13th,ADK/PADK,2024-03-11 08:29:00,12kt,0°C,10 SM,22:56 UTC,40°,-5°C,30.17 inHg,
13th,ADK/PADK,2024-03-11 08:29:00,13kt,0°C,10 SM,22:15 UTC,50°,-4°C,30.18 inHg,
13th,ADK/PADK,2024-03-11 08:29:00,11kt,0°C,10 SM,21:56 UTC,50°,-5°C,30.18 inHg,
13th,ADK/PADK,2024-03-11 08:29:00,7kt,-1°C,10 SM,20:56 UTC,20°,-5°C,30.19 inHg,
13th,ADK/PADK,2024-03-11 08:29:00,14kt,-1°C,9 SM,19:56 UTC,40°,-5°C,30.17 inHg,
13th,ADK/PADK,2024-03-11 08:29:00,14kt,-1°C,10 SM,18:56 UTC,30°,-6°C,30.16 inHg,
13th,ADK/PADK,2024-03-11 08:29:00,14kt,-1°C,10 SM,17:56 UTC,40°,-6°C,30.13 inHg,19kt
13th,ADK/PADK,2024-03-11 08:29:00,10kt,-1°C,10 SM,16:56 UTC,30°,-6°C,30.12 inHg,
13th,ADK/PADK,2024-03-11 08:29:00,12kt,-1°C,10 SM,15:56 UTC,30°,-6°C,30.09 inHg,
13th,ADK/PADK,2024-03-11 08:29:00,11kt,-1°C,9 SM,14:56 UTC,20°,-6°C,30.06 inHg,
13th,ADK/PADK,2024-03-11 08:29:00,14kt,-1°C,10 SM,13:56 UTC,30°,-6°C,30.05 inHg,
13th,ADK/PADK,2024-03-11 08:29:00,13kt,-1°C,10 SM,12:56 UTC,30°,-6°C,30.03 inHg,
13th,ADK/PADK,2024-03-11 08:29:00,16kt,-1°C,10 SM,11:56 UTC,20°,-6°C,30 inHg,
13th,ADK/PADK,2024-03-11 08:29:00,15kt,-1°C,9 SM,10:56 UTC,30°,-5°C,29.97 inHg,
13th,ADK/PADK,2024-03-11 08:29:00,18kt,-1°C,9 SM,09:56 UTC,20°,-6°C,29.94 inHg,
13th,ADK/PADK,2024-03-11 08:29:00,17kt,-1°C,9 SM,08:56 UTC,40°,-5°C,29.91 inHg,
13th,ADK/PADK,2024-03-11 08:29:00,19kt,-1°C,9 SM,07:56 UTC,40°,-5°C,29.88 inHg,25kt
13th,ADK/PADK,2024-03-11 08:29:00,20kt,-1°C,9 SM,06:56 UTC,20°,-4°C,29.83 inHg,23kt
13th,ADK/PADK,2024-03-11 08:29:00,20kt,-1°C,9 SM,05:56 UTC,40°,-4°C,29.8 inHg,25kt
13th,ADK/PADK,2024-03-11 08:29:00,22kt,-1°C,9 SM,04:56 UTC,40°,-5°C,29.76 inHg,26kt
13th,ADK/PADK,2024-03-11 08:29:00,17kt,-1°C,9 SM,03:56 UTC,40°,-4°C,29.72 inHg,26kt
13th,ADK/PADK,2024-03-11 08:29:00,19kt,-1°C,10 SM,02:56 UTC,30°,-4°C,29.69 inHg,25kt
13th,ADK/PADK,2024-03-11 08:29:00,22kt,0°C,10 SM,01:56 UTC,30°,-4°C,29.65 inHg,29kt
13th,ADK/PADK,2024-03-11 08:29:00,27kt,0°C,9 SM,00:56 UTC,40°,-4°C,29.63 inHg,32kt
13th,ADK/PADK,2024-03-11 08:29:00,27kt,0°C,9 SM,00:28 UTC,40°,-3°C,29.62 inHg,32kt
12th,ADK/PADK,2024-03-11 08:29:00,24kt,0°C,8 SM,23:56 UTC,40°,-3°C,29.6 inHg,34kt
12th,ADK/PADK,2024-03-11 08:29:00,28kt,0°C,10 SM,23:28 UTC,40°,-4°C,29.6 inHg,34kt
12th,ADK/PADK,2024-03-11 08:29:00,28kt,0°C,10 SM,22:56 UTC,50°,-4°C,29.58 inHg,35kt
12th,ADK/PADK,2024-03-11 08:29:00,30kt,0°C,10 SM,21:56 UTC,40°,-4°C,29.55 inHg,36kt
12th,ADK/PADK,2024-03-11 08:29:00,32kt,0°C,9 SM,20:56 UTC,50°,-3°C,29.53 inHg,36kt
12th,ADK/PADK,2024-03-11 08:29:00,28kt,0°C,4 SM,19:56 UTC,50°,-3°C,29.5 inHg,33kt
12th,ADK/PADK,2024-03-11 08:29:00,30kt,-1°C,5 SM,18:56 UTC,40°,-3°C,29.48 inHg,36kt
12th,ADK/PADK,2024-03-11 08:29:00,28kt,-1°C,6 SM,17:56 UTC,50°,-3°C,29.44 inHg,35kt
12th,ADK/PADK,2024-03-11 08:29:00,27kt,-1°C,8 SM,17:20 UTC,50°,-3°C,29.43 inHg,37kt
12th,ADK/PADK,2024-03-11 08:29:00,29kt,-1°C,3 SM,16:54 UTC,50°,-2°C,29.42 inHg,32kt
12th,ADK/PADK,2024-03-11 08:29:00,19kt,-1°C,1.75 SM,16:25 UTC,60°,-2°C,29.4 inHg,30kt
12th,ADK/PADK,2024-03-11 08:29:00,19kt,-1°C,6 SM,15:56 UTC,50°,-2°C,29.39 inHg,25kt
12th,ADK/PADK,2024-03-11 08:29:00,14kt,-1°C,8 SM,15:19 UTC,50°,-2°C,29.38 inHg,
12th,ADK/PADK,2024-03-11 08:29:00,19kt,-1°C,9 SM,14:56 UTC,60°,-2°C,29.37 inHg,23kt
12th,ADK/PADK,2024-03-11 08:29:00,22kt,-1°C,8 SM,14:28 UTC,50°,-2°C,29.37 inHg,
12th,ADK/PADK,2024-03-11 08:29:00,15kt,0°C,6 SM,13:56 UTC,60°,-2°C,29.36 inHg,
12th,ADK/PADK,2024-03-11 08:29:00,18kt,0°C,5 SM,13:18 UTC,60°,-2°C,29.36 inHg,
12th,ADK/PADK,2024-03-11 08:29:00,24kt,0°C,9 SM,12:56 UTC,80°,-2°C,29.35 inHg,31kt
12th,ADK/PADK,2024-03-11 08:29:00,29kt,0°C,7 SM,11:56 UTC,80°,-2°C,29.35 inHg,32kt
12th,ADK/PADK,2024-03-11 08:29:00,28kt,0°C,5 SM,10:56 UTC,70°,-2°C,29.35 inHg,33kt
12th,ADK/PADK,2024-03-11 08:29:00,24kt,0°C,3 SM,10:20 UTC,70°,-1°C,29.35 inHg,33kt
12th,ADK/PADK,2024-03-11 08:29:00,26kt,0°C,2.5 SM,09:56 UTC,60°,-1°C,29.35 inHg,31kt
12th,ADK/PADK,2024-03-11 08:29:00,27kt,0°C,3 SM,09:18 UTC,70°,-2°C,29.35 inHg,34kt
12th,ADK/PADK,2024-03-11 08:29:00,25kt,0°C,1.5 SM,08:56 UTC,70°,-1°C,29.33 inHg,34kt
12th,ADK/PADK,2024-03-11 08:29:00,22kt,0°C,1 SM,08:27 UTC,70°,-1°C,29.32 inHg,31kt
12th,ADK/PADK,2024-03-11 08:29:00,24kt,1°C,1 SM,07:56 UTC,70°,-1°C,29.32 inHg,33kt
12th,ADK/PADK,2024-03-11 08:29:00,22kt,1°C,4 SM,07:28 UTC,70°,-2°C,29.32 inHg,29kt
12th,ADK/PADK,2024-03-11 08:29:00,24kt,1°C,2.5 SM,06:56 UTC,70°,-3°C,29.32 inHg,29kt
12th,ADK/PADK,2024-03-11 08:29:00,25kt,1°C,10 SM,05:56 UTC,70°,-4°C,29.33 inHg,28kt
12th,ADK/PADK,2024-03-11 08:29:00,27kt,1°C,10 SM,05:06 UTC,70°,-3°C,29.33 inHg,32kt
12th,ADK/PADK,2024-03-11 08:29:00,23kt,1°C,10 SM,04:56 UTC,80°,-3°C,29.32 inHg,28kt
12th,ADK/PADK,2024-03-11 08:29:00,26kt,1°C,10 SM,04:26 UTC,90°,-3°C,29.32 inHg,30kt
12th,ADK/PADK,2024-03-11 08:29:00,30kt,1°C,7 SM,03:56 UTC,80°,-2°C,29.32 inHg,37kt
12th,ADK/PADK,2024-03-11 08:29:00,29kt,1°C,4 SM,02:56 UTC,80°,-1°C,29.33 inHg,35kt
12th,ADK/PADK,2024-03-11 08:29:00,25kt,2°C,10 SM,01:56 UTC,80°,-2°C,29.34 inHg,35kt
12th,ADK/PADK,2024-03-11 08:29:00,24kt,1°C,10 SM,00:56 UTC,80°,-2°C,29.39 inHg,29kt
11th,ADK/PADK,2024-03-11 08:29:00,23kt,1°C,10 SM,23:56 UTC,90°,-3°C,29.42 inHg,
11th,ADK/PADK,2024-03-11 08:29:00,23kt,1°C,10 SM,22:56 UTC,90°,-2°C,29.44 inHg,27kt
11th,ADK/PADK,2024-03-11 08:29:00,21kt,1°C,10 SM,21:56 UTC,80°,-2°C,29.45 inHg,28kt
11th,ADK/PADK,2024-03-11 08:29:00,18kt,1°C,10 SM,20:56 UTC,90°,-2°C,29.47 inHg,
11th,ADK/PADK,2024-03-11 08:29:00,21kt,1°C,10 SM,19:56 UTC,90°,-2°C,29.49 inHg,
11th,ADK/PADK,2024-03-11 08:29:00,18kt,1°C,10 SM,18:56 UTC,90°,-1°C,29.51 inHg,
11th,ADK/PADK,2024-03-11 08:29:00,23kt,1°C,8 SM,17:56 UTC,110°,-1°C,29.52 inHg,28kt
11th,ADK/PADK,2024-03-11 08:29:00,18kt,1°C,8 SM,17:06 UTC,110°,0°C,29.52 inHg,24kt
11th,ADK/PADK,2024-03-11 08:29:00,18kt,2°C,10 SM,16:56 UTC,100°,0°C,29.52 inHg,
11th,ADK/PADK,2024-03-11 08:29:00,17kt,1°C,6 SM,16:25 UTC,100°,1°C,29.53 inHg,
11th,ADK/PADK,2024-03-11 08:29:00,22kt,2°C,2.5 SM,15:56 UTC,110°,1°C,29.53 inHg,28kt
11th,ADK/PADK,2024-03-11 08:29:00,20kt,2°C,2 SM,15:22 UTC,100°,1°C,29.55 inHg,27kt
11th,ADK/PADK,2024-03-11 08:29:00,18kt,2°C,4 SM,14:56 UTC,100°,1°C,29.56 inHg,26kt
11th,ADK/PADK,2024-03-11 08:29:00,21kt,2°C,7 SM,13:56 UTC,100°,1°C,29.59 inHg,
11th,ADK/PADK,2024-03-11 08:29:00,16kt,2°C,10 SM,13:15 UTC,110°,1°C,29.6 inHg,
11th,ADK/PADK,2024-03-11 08:29:00,14kt,2°C,8 SM,12:56 UTC,110°,1°C,29.61 inHg,
11th,ADK/PADK,2024-03-11 08:29:00,10kt,2°C,10 SM,11:56 UTC,120°,1°C,29.63 inHg,
11th,ADK/PADK,2024-03-11 08:29:00,11kt,2°C,8 SM,09:56 UTC,110°,1°C,29.64 inHg,
11th,ADK/PADK,2024-03-11 08:29:00,15kt,2°C,10 SM,08:56 UTC,90°,1°C,29.65 inHg,
11th,ADK/PADK,2024-03-11 08:29:00,12kt,2°C,7 SM,08:29 UTC,90°,1°C,29.65 inHg,
