Day,Airport_id,Date,Wind speed,Temperature,Visibility,Time,Wind direction,Dew point,Pressure,Wind gust
14th,AFO/KAFO,2024-03-11 08:55:00,3kt,-4°C,10 SM,07:55 UTC,340°,-8°C,30.06 inHg,
14th,AFO/KAFO,2024-03-11 08:55:00,0kt,-4°C,10 SM,07:15 UTC,0°,-7°C,30.06 inHg,
14th,AFO/KAFO,2024-03-11 08:55:00,3kt,-6°C,7 SM,05:55 UTC,360°,-9°C,30.05 inHg,
14th,AFO/KAFO,2024-03-11 08:55:00,0kt,-4°C,10 SM,05:15 UTC,0°,-8°C,30.05 inHg,
14th,AFO/KAFO,2024-03-11 08:55:00,3kt,-4°C,5 SM,04:55 UTC,350°,-8°C,30.04 inHg,
14th,AFO/KAFO,2024-03-11 08:55:00,3kt,-4°C,2.5 SM,04:15 UTC,350°,-7°C,30.03 inHg,
14th,AFO/KAFO,2024-03-11 08:55:00,4kt,-3°C,3 SM,03:55 UTC,340°,-8°C,30.03 inHg,
14th,AFO/KAFO,2024-03-11 08:55:00,5kt,-3°C,3 SM,03:15 UTC,350°,-7°C,30.03 inHg,
14th,AFO/KAFO,2024-03-11 08:55:00,4kt,-3°C,3 SM,02:55 UTC,350°,-7°C,30.03 inHg,
14th,AFO/KAFO,2024-03-11 08:55:00,5kt,-3°C,3 SM,02:15 UTC,350°,-8°C,30.02 inHg,
14th,AFO/KAFO,2024-03-11 08:55:00,10kt,-2°C,10 SM,01:55 UTC,330°,-10°C,30.02 inHg,
14th,AFO/KAFO,2024-03-11 08:55:00,9kt,-2°C,10 SM,01:15 UTC,330°,-11°C,30.01 inHg,
14th,AFO/KAFO,2024-03-11 08:55:00,8kt,-1°C,10 SM,00:35 UTC,320°,-12°C,29.99 inHg,
14th,AFO/KAFO,2024-03-11 08:55:00,6kt,-1°C,10 SM,00:15 UTC,350°,-12°C,29.99 inHg,
13th,AFO/KAFO,2024-03-11 08:55:00,7kt,-1°C,10 SM,23:55 UTC,350°,-11°C,29.98 inHg,
13th,AFO/KAFO,2024-03-11 08:55:00,4kt,-1°C,10 SM,23:15 UTC,310°,-12°C,29.98 inHg,
13th,AFO/KAFO,2024-03-11 08:55:00,8kt,0°C,10 SM,22:35 UTC,330°,-12°C,29.97 inHg,
13th,AFO/KAFO,2024-03-11 08:55:00,6kt,0°C,10 SM,22:10 UTC,330°,-11°C,29.97 inHg,
13th,AFO/KAFO,2024-03-11 08:55:00,5kt,0°C,10 SM,21:55 UTC,340°,-12°C,29.96 inHg,
13th,AFO/KAFO,2024-03-11 08:55:00,8kt,0°C,10 SM,21:15 UTC,350°,-12°C,29.96 inHg,
13th,AFO/KAFO,2024-03-11 08:55:00,5kt,0°C,10 SM,20:55 UTC,350°,-12°C,29.96 inHg,
13th,AFO/KAFO,2024-03-11 08:55:00,7kt,0°C,10 SM,20:15 UTC,360°,-12°C,29.96 inHg,
13th,AFO/KAFO,2024-03-11 08:55:00,7kt,0°C,10 SM,19:35 UTC,20°,-11°C,29.96 inHg,
13th,AFO/KAFO,2024-03-11 08:55:00,7kt,-1°C,10 SM,19:15 UTC,20°,-11°C,29.96 inHg,
13th,AFO/KAFO,2024-03-11 08:55:00,8kt,-1°C,10 SM,18:55 UTC,20°,-11°C,29.97 inHg,
13th,AFO/KAFO,2024-03-11 08:55:00,8kt,-2°C,10 SM,18:15 UTC,340°,-12°C,29.97 inHg,
13th,AFO/KAFO,2024-03-11 08:55:00,6kt,-1°C,10 SM,17:35 UTC,330°,-11°C,29.97 inHg,
13th,AFO/KAFO,2024-03-11 08:55:00,6kt,-1°C,10 SM,17:15 UTC,360°,-11°C,29.97 inHg,
13th,AFO/KAFO,2024-03-11 08:55:00,5kt,-1°C,10 SM,16:55 UTC,360°,-11°C,29.97 inHg,
13th,AFO/KAFO,2024-03-11 08:55:00,6kt,-2°C,10 SM,16:15 UTC,360°,-10°C,29.96 inHg,
13th,AFO/KAFO,2024-03-11 08:55:00,7kt,-2°C,10 SM,15:55 UTC,30°,-9°C,29.96 inHg,
13th,AFO/KAFO,2024-03-11 08:55:00,4kt,-2°C,4 SM,15:15 UTC,20°,-7°C,29.95 inHg,
13th,AFO/KAFO,2024-03-11 08:55:00,0kt,-2°C,1.25 SM,14:55 UTC,0°,-7°C,29.94 inHg,
13th,AFO/KAFO,2024-03-11 08:55:00,0kt,-2°C,0.5 SM,14:15 UTC,0°,-7°C,29.93 inHg,
13th,AFO/KAFO,2024-03-11 08:55:00,0kt,-2°C,1.25 SM,13:55 UTC,0°,-7°C,29.92 inHg,
13th,AFO/KAFO,2024-03-11 08:55:00,0kt,-2°C,3 SM,13:15 UTC,0°,-7°C,29.91 inHg,
13th,AFO/KAFO,2024-03-11 08:55:00,3kt,-2°C,7 SM,12:55 UTC,150°,-7°C,29.91 inHg,
13th,AFO/KAFO,2024-03-11 08:55:00,4kt,-2°C,10 SM,12:15 UTC,190°,-7°C,29.9 inHg,
13th,AFO/KAFO,2024-03-11 08:55:00,5kt,-2°C,10 SM,11:55 UTC,150°,-7°C,29.9 inHg,
13th,AFO/KAFO,2024-03-11 08:55:00,5kt,-2°C,10 SM,11:15 UTC,170°,-7°C,29.9 inHg,
13th,AFO/KAFO,2024-03-11 08:55:00,3kt,-2°C,10 SM,10:35 UTC,150°,-7°C,29.91 inHg,
13th,AFO/KAFO,2024-03-11 08:55:00,5kt,-2°C,10 SM,10:15 UTC,200°,-7°C,29.91 inHg,
13th,AFO/KAFO,2024-03-11 08:55:00,0kt,-1°C,10 SM,09:55 UTC,0°,-7°C,29.92 inHg,
13th,AFO/KAFO,2024-03-11 08:55:00,4kt,-2°C,10 SM,09:15 UTC,160°,-7°C,29.92 inHg,
13th,AFO/KAFO,2024-03-11 08:55:00,4kt,-2°C,10 SM,08:55 UTC,140°,-7°C,29.92 inHg,
13th,AFO/KAFO,2024-03-11 08:55:00,4kt,-2°C,10 SM,08:15 UTC,60°,-7°C,29.92 inHg,
13th,AFO/KAFO,2024-03-11 08:55:00,3kt,-5°C,10 SM,07:55 UTC,170°,-10°C,29.92 inHg,
13th,AFO/KAFO,2024-03-11 08:55:00,3kt,-3°C,10 SM,07:15 UTC,190°,-7°C,29.92 inHg,
13th,AFO/KAFO,2024-03-11 08:55:00,0kt,-2°C,10 SM,06:55 UTC,0°,-7°C,29.92 inHg,
13th,AFO/KAFO,2024-03-11 08:55:00,3kt,-1°C,10 SM,06:15 UTC,80°,-6°C,29.93 inHg,
13th,AFO/KAFO,2024-03-11 08:55:00,0kt,-1°C,10 SM,05:55 UTC,0°,-6°C,29.93 inHg,
13th,AFO/KAFO,2024-03-11 08:55:00,0kt,-2°C,10 SM,05:15 UTC,0°,-7°C,29.92 inHg,
13th,AFO/KAFO,2024-03-11 08:55:00,4kt,-1°C,10 SM,04:55 UTC,180°,-6°C,29.92 inHg,
13th,AFO/KAFO,2024-03-11 08:55:00,6kt,-1°C,10 SM,04:15 UTC,80°,-3°C,29.92 inHg,
13th,AFO/KAFO,2024-03-11 08:55:00,5kt,-1°C,1.5 SM,03:55 UTC,70°,-2°C,29.92 inHg,
13th,AFO/KAFO,2024-03-11 08:55:00,10kt,0°C,0.75 SM,03:15 UTC,290°,-3°C,29.91 inHg,
13th,AFO/KAFO,2024-03-11 08:55:00,5kt,0°C,4 SM,02:55 UTC,320°,-3°C,29.9 inHg,
13th,AFO/KAFO,2024-03-11 08:55:00,4kt,0°C,10 SM,02:15 UTC,40°,-3°C,29.88 inHg,
13th,AFO/KAFO,2024-03-11 08:55:00,0kt,0°C,10 SM,01:55 UTC,0°,-5°C,29.88 inHg,
13th,AFO/KAFO,2024-03-11 08:55:00,0kt,0°C,10 SM,01:10 UTC,0°,-4°C,29.88 inHg,
13th,AFO/KAFO,2024-03-11 08:55:00,0kt,0°C,10 SM,00:55 UTC,0°,-4°C,29.88 inHg,
13th,AFO/KAFO,2024-03-11 08:55:00,4kt,0°C,10 SM,00:15 UTC,230°,-5°C,29.88 inHg,
12th,AFO/KAFO,2024-03-11 08:55:00,3kt,1°C,10 SM,23:55 UTC,20°,-5°C,29.88 inHg,
12th,AFO/KAFO,2024-03-11 08:55:00,0kt,1°C,10 SM,23:15 UTC,0°,-4°C,29.9 inHg,
12th,AFO/KAFO,2024-03-11 08:55:00,5kt,1°C,10 SM,22:55 UTC,230°,-4°C,29.89 inHg,
12th,AFO/KAFO,2024-03-11 08:55:00,5kt,1°C,10 SM,22:15 UTC,250°,-6°C,29.89 inHg,
12th,AFO/KAFO,2024-03-11 08:55:00,0kt,2°C,10 SM,21:55 UTC,0°,-6°C,29.89 inHg,
12th,AFO/KAFO,2024-03-11 08:55:00,5kt,1°C,1.5 SM,21:15 UTC,70°,-2°C,29.91 inHg,
12th,AFO/KAFO,2024-03-11 08:55:00,5kt,0°C,0.75 SM,20:55 UTC,340°,-3°C,29.92 inHg,
12th,AFO/KAFO,2024-03-11 08:55:00,0kt,1°C,2 SM,20:15 UTC,0°,-3°C,29.93 inHg,
12th,AFO/KAFO,2024-03-11 08:55:00,0kt,1°C,1.25 SM,19:55 UTC,0°,-3°C,29.94 inHg,
12th,AFO/KAFO,2024-03-11 08:55:00,0kt,2°C,7 SM,19:15 UTC,0°,-2°C,29.94 inHg,
12th,AFO/KAFO,2024-03-11 08:55:00,0kt,2°C,5 SM,18:55 UTC,0°,-2°C,29.95 inHg,
12th,AFO/KAFO,2024-03-11 08:55:00,4kt,1°C,10 SM,18:15 UTC,180°,-1°C,29.95 inHg,
12th,AFO/KAFO,2024-03-11 08:55:00,5kt,1°C,10 SM,17:55 UTC,190°,-2°C,29.95 inHg,
12th,AFO/KAFO,2024-03-11 08:55:00,9kt,0°C,10 SM,16:55 UTC,190°,-2°C,29.95 inHg,
12th,AFO/KAFO,2024-03-11 08:55:00,6kt,0°C,5 SM,16:15 UTC,180°,-1°C,29.95 inHg,
12th,AFO/KAFO,2024-03-11 08:55:00,0kt,0°C,3 SM,15:55 UTC,0°,-1°C,29.95 inHg,
12th,AFO/KAFO,2024-03-11 08:55:00,6kt,0°C,10 SM,15:15 UTC,180°,-2°C,29.93 inHg,
12th,AFO/KAFO,2024-03-11 08:55:00,7kt,0°C,10 SM,14:55 UTC,190°,-2°C,29.92 inHg,
12th,AFO/KAFO,2024-03-11 08:55:00,0kt,0°C,7 SM,14:15 UTC,0°,-2°C,29.92 inHg,
12th,AFO/KAFO,2024-03-11 08:55:00,7kt,0°C,7 SM,13:55 UTC,170°,-2°C,29.92 inHg,
12th,AFO/KAFO,2024-03-11 08:55:00,8kt,0°C,10 SM,13:15 UTC,180°,-2°C,29.93 inHg,
12th,AFO/KAFO,2024-03-11 08:55:00,9kt,-1°C,10 SM,12:55 UTC,180°,-2°C,29.93 inHg,
12th,AFO/KAFO,2024-03-11 08:55:00,0kt,-1°C,10 SM,12:15 UTC,0°,-3°C,29.93 inHg,
12th,AFO/KAFO,2024-03-11 08:55:00,3kt,-1°C,10 SM,11:55 UTC,200°,-3°C,29.93 inHg,
12th,AFO/KAFO,2024-03-11 08:55:00,0kt,-2°C,10 SM,11:15 UTC,0°,-4°C,29.93 inHg,
12th,AFO/KAFO,2024-03-11 08:55:00,0kt,-3°C,10 SM,10:55 UTC,0°,-4°C,29.93 inHg,
12th,AFO/KAFO,2024-03-11 08:55:00,0kt,0°C,10 SM,10:15 UTC,0°,-3°C,29.93 inHg,
12th,AFO/KAFO,2024-03-11 08:55:00,0kt,-1°C,10 SM,09:55 UTC,0°,-3°C,29.94 inHg,
12th,AFO/KAFO,2024-03-11 08:55:00,0kt,-1°C,10 SM,09:15 UTC,0°,-3°C,29.95 inHg,
12th,AFO/KAFO,2024-03-11 08:55:00,4kt,-1°C,10 SM,08:55 UTC,190°,-3°C,29.95 inHg,
12th,AFO/KAFO,2024-03-11 08:55:00,6kt,0°C,10 SM,08:15 UTC,200°,-3°C,29.95 inHg,
12th,AFO/KAFO,2024-03-11 08:55:00,7kt,0°C,10 SM,07:50 UTC,200°,-3°C,29.95 inHg,
12th,AFO/KAFO,2024-03-11 08:55:00,6kt,-1°C,10 SM,07:15 UTC,210°,-4°C,29.95 inHg,
12th,AFO/KAFO,2024-03-11 08:55:00,5kt,-1°C,10 SM,06:55 UTC,200°,-4°C,29.96 inHg,
12th,AFO/KAFO,2024-03-11 08:55:00,9kt,-2°C,10 SM,06:15 UTC,210°,-5°C,29.96 inHg,
