Pressure,Wind gust,Temperature,Wind speed,Wind direction,Day,Airport_id,Date,Dew point,Time,Visibility
30.01 inHg,,1°C,0kt,0°,14th,APN/KAPN,2024-03-11 08:54:00,-1°C,07:54 UTC,10 SM
30.03 inHg,,1°C,3kt,280°,14th,APN/KAPN,2024-03-11 08:54:00,0°C,06:54 UTC,10 SM
30.02 inHg,,1°C,0kt,0°,14th,APN/KAPN,2024-03-11 08:54:00,-1°C,05:54 UTC,10 SM
30.01 inHg,,1°C,0kt,0°,14th,APN/KAPN,2024-03-11 08:54:00,-1°C,04:54 UTC,10 SM
30 inHg,,2°C,0kt,0°,14th,APN/KAPN,2024-03-11 08:54:00,0°C,03:54 UTC,10 SM
30 inHg,,3°C,0kt,0°,14th,APN/KAPN,2024-03-11 08:54:00,1°C,02:54 UTC,10 SM
30 inHg,,4°C,3kt,270°,14th,APN/KAPN,2024-03-11 08:54:00,2°C,01:54 UTC,10 SM
29.97 inHg,,5°C,0kt,0°,14th,APN/KAPN,2024-03-11 08:54:00,2°C,00:54 UTC,10 SM
29.95 inHg,,7°C,0kt,0°,13th,APN/KAPN,2024-03-11 08:54:00,2°C,23:54 UTC,10 SM
29.93 inHg,,9°C,4kt,120°,13th,APN/KAPN,2024-03-11 08:54:00,2°C,22:54 UTC,10 SM
29.9 inHg,,13°C,7kt,110°,13th,APN/KAPN,2024-03-11 08:54:00,3°C,21:54 UTC,10 SM
29.87 inHg,,18°C,6kt,310°,13th,APN/KAPN,2024-03-11 08:54:00,-4°C,20:54 UTC,10 SM
29.86 inHg,,18°C,8kt,290°,13th,APN/KAPN,2024-03-11 08:54:00,-4°C,19:54 UTC,10 SM
29.85 inHg,,18°C,9kt,310°,13th,APN/KAPN,2024-03-11 08:54:00,-2°C,18:54 UTC,10 SM
29.86 inHg,15kt,17°C,6kt,320°,13th,APN/KAPN,2024-03-11 08:54:00,-1°C,17:54 UTC,10 SM
29.86 inHg,,14°C,6kt,,13th,APN/KAPN,2024-03-11 08:54:00,2°C,16:54 UTC,10 SM
29.86 inHg,,12°C,7kt,330°,13th,APN/KAPN,2024-03-11 08:54:00,2°C,15:54 UTC,10 SM
29.85 inHg,,9°C,5kt,280°,13th,APN/KAPN,2024-03-11 08:54:00,1°C,14:54 UTC,10 SM
29.84 inHg,,7°C,5kt,,13th,APN/KAPN,2024-03-11 08:54:00,1°C,13:54 UTC,10 SM
29.82 inHg,,2°C,0kt,0°,13th,APN/KAPN,2024-03-11 08:54:00,0°C,12:54 UTC,10 SM
29.8 inHg,,-2°C,0kt,0°,13th,APN/KAPN,2024-03-11 08:54:00,-3°C,11:54 UTC,10 SM
29.78 inHg,,1°C,3kt,290°,13th,APN/KAPN,2024-03-11 08:54:00,-2°C,10:54 UTC,10 SM
29.75 inHg,,-1°C,3kt,260°,13th,APN/KAPN,2024-03-11 08:54:00,-2°C,09:54 UTC,10 SM
29.73 inHg,,3°C,3kt,260°,13th,APN/KAPN,2024-03-11 08:54:00,1°C,08:54 UTC,10 SM
29.72 inHg,,3°C,4kt,250°,13th,APN/KAPN,2024-03-11 08:54:00,2°C,07:54 UTC,10 SM
29.71 inHg,,4°C,4kt,270°,13th,APN/KAPN,2024-03-11 08:54:00,2°C,06:54 UTC,10 SM
29.7 inHg,,4°C,3kt,260°,13th,APN/KAPN,2024-03-11 08:54:00,2°C,05:54 UTC,10 SM
29.69 inHg,,6°C,5kt,300°,13th,APN/KAPN,2024-03-11 08:54:00,2°C,04:54 UTC,10 SM
29.68 inHg,,2°C,3kt,340°,13th,APN/KAPN,2024-03-11 08:54:00,1°C,03:54 UTC,10 SM
29.68 inHg,,4°C,0kt,0°,13th,APN/KAPN,2024-03-11 08:54:00,2°C,02:54 UTC,10 SM
29.67 inHg,,6°C,0kt,0°,13th,APN/KAPN,2024-03-11 08:54:00,3°C,01:54 UTC,10 SM
29.67 inHg,,11°C,0kt,0°,13th,APN/KAPN,2024-03-11 08:54:00,4°C,00:54 UTC,10 SM
29.65 inHg,,10°C,7kt,310°,12th,APN/KAPN,2024-03-11 08:54:00,4°C,23:54 UTC,10 SM
29.61 inHg,,10°C,4kt,90°,12th,APN/KAPN,2024-03-11 08:54:00,4°C,22:54 UTC,10 SM
29.62 inHg,,13°C,5kt,80°,12th,APN/KAPN,2024-03-11 08:54:00,4°C,21:54 UTC,10 SM
29.64 inHg,,13°C,8kt,110°,12th,APN/KAPN,2024-03-11 08:54:00,4°C,20:54 UTC,10 SM
29.67 inHg,,12°C,10kt,100°,12th,APN/KAPN,2024-03-11 08:54:00,3°C,19:54 UTC,10 SM
29.7 inHg,,11°C,8kt,110°,12th,APN/KAPN,2024-03-11 08:54:00,3°C,18:54 UTC,10 SM
29.73 inHg,,12°C,11kt,100°,12th,APN/KAPN,2024-03-11 08:54:00,2°C,17:54 UTC,10 SM
29.76 inHg,,12°C,8kt,90°,12th,APN/KAPN,2024-03-11 08:54:00,1°C,16:54 UTC,10 SM
29.78 inHg,,11°C,8kt,110°,12th,APN/KAPN,2024-03-11 08:54:00,0°C,15:54 UTC,10 SM
29.8 inHg,,9°C,7kt,150°,12th,APN/KAPN,2024-03-11 08:54:00,1°C,14:54 UTC,10 SM
29.82 inHg,,4°C,3kt,150°,12th,APN/KAPN,2024-03-11 08:54:00,0°C,13:54 UTC,10 SM
29.83 inHg,,-1°C,0kt,0°,12th,APN/KAPN,2024-03-11 08:54:00,-3°C,12:54 UTC,10 SM
29.83 inHg,,-3°C,0kt,0°,12th,APN/KAPN,2024-03-11 08:54:00,-5°C,11:54 UTC,10 SM
29.83 inHg,,-3°C,0kt,0°,12th,APN/KAPN,2024-03-11 08:54:00,-5°C,10:54 UTC,10 SM
29.82 inHg,,-3°C,0kt,0°,12th,APN/KAPN,2024-03-11 08:54:00,-4°C,09:54 UTC,10 SM
29.82 inHg,,-2°C,3kt,260°,12th,APN/KAPN,2024-03-11 08:54:00,-4°C,08:54 UTC,10 SM
29.82 inHg,,-2°C,0kt,0°,12th,APN/KAPN,2024-03-11 08:54:00,-4°C,07:54 UTC,10 SM
29.83 inHg,,-2°C,3kt,270°,12th,APN/KAPN,2024-03-11 08:54:00,-3°C,06:54 UTC,10 SM
29.83 inHg,,-3°C,0kt,0°,12th,APN/KAPN,2024-03-11 08:54:00,-4°C,05:54 UTC,10 SM
29.83 inHg,,-1°C,3kt,270°,12th,APN/KAPN,2024-03-11 08:54:00,-3°C,04:54 UTC,10 SM
29.83 inHg,,-2°C,0kt,0°,12th,APN/KAPN,2024-03-11 08:54:00,-3°C,03:54 UTC,10 SM
29.82 inHg,,0°C,0kt,0°,12th,APN/KAPN,2024-03-11 08:54:00,-3°C,02:54 UTC,10 SM
29.82 inHg,,3°C,4kt,320°,12th,APN/KAPN,2024-03-11 08:54:00,-2°C,01:54 UTC,10 SM
29.81 inHg,,4°C,5kt,320°,12th,APN/KAPN,2024-03-11 08:54:00,-1°C,00:54 UTC,10 SM
29.8 inHg,,4°C,3kt,20°,11th,APN/KAPN,2024-03-11 08:54:00,-1°C,23:54 UTC,10 SM
29.8 inHg,,8°C,0kt,0°,11th,APN/KAPN,2024-03-11 08:54:00,-1°C,22:54 UTC,10 SM
29.82 inHg,,9°C,6kt,70°,11th,APN/KAPN,2024-03-11 08:54:00,-2°C,21:54 UTC,10 SM
29.83 inHg,,10°C,6kt,80°,11th,APN/KAPN,2024-03-11 08:54:00,-3°C,20:54 UTC,10 SM
29.86 inHg,,8°C,7kt,100°,11th,APN/KAPN,2024-03-11 08:54:00,-2°C,19:54 UTC,10 SM
29.9 inHg,,9°C,8kt,170°,11th,APN/KAPN,2024-03-11 08:54:00,-6°C,18:54 UTC,10 SM
29.95 inHg,,7°C,5kt,150°,11th,APN/KAPN,2024-03-11 08:54:00,-7°C,17:54 UTC,10 SM
29.98 inHg,,5°C,5kt,180°,11th,APN/KAPN,2024-03-11 08:54:00,-7°C,16:54 UTC,10 SM
30.01 inHg,,3°C,5kt,230°,11th,APN/KAPN,2024-03-11 08:54:00,-7°C,15:54 UTC,10 SM
30.03 inHg,,1°C,0kt,0°,11th,APN/KAPN,2024-03-11 08:54:00,-7°C,14:54 UTC,10 SM
30.04 inHg,,-1°C,5kt,220°,11th,APN/KAPN,2024-03-11 08:54:00,-7°C,13:54 UTC,10 SM
30.05 inHg,,-3°C,4kt,240°,11th,APN/KAPN,2024-03-11 08:54:00,-7°C,12:54 UTC,10 SM
30.04 inHg,,-4°C,4kt,250°,11th,APN/KAPN,2024-03-11 08:54:00,-7°C,11:54 UTC,10 SM
30.04 inHg,,-3°C,6kt,260°,11th,APN/KAPN,2024-03-11 08:54:00,-7°C,10:54 UTC,10 SM
30.02 inHg,,-3°C,4kt,250°,11th,APN/KAPN,2024-03-11 08:54:00,-6°C,09:54 UTC,10 SM
30.02 inHg,,-3°C,5kt,280°,11th,APN/KAPN,2024-03-11 08:54:00,-6°C,08:54 UTC,10 SM
