Pressure,Wind gust,Temperature,Wind speed,Wind direction,Day,Airport_id,Date,Dew point,Time,Visibility
29.76 inHg,,12°C,7kt,80°,14th,AMW/KAMW,2024-03-11 08:53:00,7°C,07:53 UTC,10 SM
29.74 inHg,,12°C,6kt,70°,14th,AMW/KAMW,2024-03-11 08:53:00,7°C,06:53 UTC,5 SM
29.77 inHg,,13°C,5kt,60°,14th,AMW/KAMW,2024-03-11 08:53:00,7°C,05:53 UTC,10 SM
29.74 inHg,,14°C,6kt,40°,14th,AMW/KAMW,2024-03-11 08:53:00,7°C,04:53 UTC,10 SM
29.73 inHg,,14°C,5kt,50°,14th,AMW/KAMW,2024-03-11 08:53:00,7°C,03:53 UTC,10 SM
29.73 inHg,,15°C,5kt,40°,14th,AMW/KAMW,2024-03-11 08:53:00,7°C,02:53 UTC,10 SM
29.76 inHg,,16°C,4kt,90°,14th,AMW/KAMW,2024-03-11 08:53:00,7°C,01:53 UTC,10 SM
29.76 inHg,,18°C,5kt,100°,14th,AMW/KAMW,2024-03-11 08:53:00,7°C,00:53 UTC,10 SM
29.75 inHg,,19°C,6kt,110°,13th,AMW/KAMW,2024-03-11 08:53:00,7°C,23:53 UTC,10 SM
29.74 inHg,,21°C,9kt,120°,13th,AMW/KAMW,2024-03-11 08:53:00,7°C,22:53 UTC,10 SM
29.72 inHg,,22°C,9kt,130°,13th,AMW/KAMW,2024-03-11 08:53:00,7°C,21:53 UTC,10 SM
29.73 inHg,,22°C,9kt,140°,13th,AMW/KAMW,2024-03-11 08:53:00,7°C,20:53 UTC,10 SM
29.74 inHg,,22°C,7kt,120°,13th,AMW/KAMW,2024-03-11 08:53:00,8°C,19:53 UTC,10 SM
29.77 inHg,,21°C,8kt,150°,13th,AMW/KAMW,2024-03-11 08:53:00,8°C,18:53 UTC,10 SM
29.78 inHg,16kt,21°C,6kt,150°,13th,AMW/KAMW,2024-03-11 08:53:00,8°C,17:53 UTC,10 SM
29.79 inHg,,19°C,8kt,120°,13th,AMW/KAMW,2024-03-11 08:53:00,7°C,16:53 UTC,10 SM
29.79 inHg,,17°C,6kt,110°,13th,AMW/KAMW,2024-03-11 08:53:00,6°C,15:53 UTC,10 SM
29.79 inHg,,12°C,5kt,80°,13th,AMW/KAMW,2024-03-11 08:53:00,2°C,14:53 UTC,10 SM
29.79 inHg,,7°C,3kt,80°,13th,AMW/KAMW,2024-03-11 08:53:00,0°C,13:53 UTC,10 SM
29.78 inHg,,3°C,0kt,0°,13th,AMW/KAMW,2024-03-11 08:53:00,-2°C,12:53 UTC,10 SM
29.77 inHg,,3°C,5kt,350°,13th,AMW/KAMW,2024-03-11 08:53:00,-1°C,11:53 UTC,10 SM
29.77 inHg,,3°C,5kt,350°,13th,AMW/KAMW,2024-03-11 08:53:00,0°C,10:53 UTC,10 SM
29.76 inHg,,2°C,3kt,350°,13th,AMW/KAMW,2024-03-11 08:53:00,0°C,09:53 UTC,10 SM
29.78 inHg,,3°C,0kt,0°,13th,AMW/KAMW,2024-03-11 08:53:00,0°C,08:53 UTC,10 SM
29.77 inHg,,2°C,0kt,0°,13th,AMW/KAMW,2024-03-11 08:53:00,-1°C,07:53 UTC,10 SM
29.76 inHg,,2°C,0kt,0°,13th,AMW/KAMW,2024-03-11 08:53:00,-1°C,06:53 UTC,10 SM
29.75 inHg,,4°C,0kt,0°,13th,AMW/KAMW,2024-03-11 08:53:00,1°C,05:53 UTC,10 SM
29.75 inHg,,8°C,0kt,0°,13th,AMW/KAMW,2024-03-11 08:53:00,2°C,04:53 UTC,10 SM
29.76 inHg,,8°C,3kt,360°,13th,AMW/KAMW,2024-03-11 08:53:00,3°C,03:53 UTC,10 SM
29.76 inHg,,8°C,3kt,330°,13th,AMW/KAMW,2024-03-11 08:53:00,3°C,02:53 UTC,10 SM
29.75 inHg,,10°C,0kt,0°,13th,AMW/KAMW,2024-03-11 08:53:00,3°C,01:53 UTC,10 SM
29.75 inHg,,12°C,6kt,180°,13th,AMW/KAMW,2024-03-11 08:53:00,3°C,00:53 UTC,10 SM
29.73 inHg,,18°C,,,12th,AMW/KAMW,2024-03-11 08:53:00,2°C,23:53 UTC,10 SM
29.73 inHg,,21°C,,,12th,AMW/KAMW,2024-03-11 08:53:00,2°C,22:53 UTC,10 SM
29.73 inHg,,21°C,,,12th,AMW/KAMW,2024-03-11 08:53:00,2°C,21:53 UTC,10 SM
29.73 inHg,,21°C,,,12th,AMW/KAMW,2024-03-11 08:53:00,3°C,20:53 UTC,10 SM
29.74 inHg,,21°C,6kt,340°,12th,AMW/KAMW,2024-03-11 08:53:00,3°C,19:53 UTC,10 SM
29.76 inHg,,19°C,5kt,310°,12th,AMW/KAMW,2024-03-11 08:53:00,3°C,18:53 UTC,10 SM
29.78 inHg,,19°C,9kt,270°,12th,AMW/KAMW,2024-03-11 08:53:00,4°C,17:53 UTC,10 SM
29.79 inHg,,17°C,9kt,280°,12th,AMW/KAMW,2024-03-11 08:53:00,4°C,16:53 UTC,10 SM
29.8 inHg,,16°C,12kt,240°,12th,AMW/KAMW,2024-03-11 08:53:00,4°C,15:53 UTC,10 SM
29.8 inHg,,14°C,13kt,240°,12th,AMW/KAMW,2024-03-11 08:53:00,4°C,14:53 UTC,10 SM
29.8 inHg,,11°C,6kt,220°,12th,AMW/KAMW,2024-03-11 08:53:00,4°C,13:53 UTC,10 SM
29.8 inHg,,7°C,5kt,200°,12th,AMW/KAMW,2024-03-11 08:53:00,2°C,12:53 UTC,10 SM
29.8 inHg,,9°C,3kt,230°,12th,AMW/KAMW,2024-03-11 08:53:00,2°C,11:53 UTC,10 SM
29.78 inHg,,10°C,11kt,210°,12th,AMW/KAMW,2024-03-11 08:53:00,3°C,10:53 UTC,10 SM
29.79 inHg,,11°C,10kt,220°,12th,AMW/KAMW,2024-03-11 08:53:00,3°C,09:53 UTC,10 SM
29.8 inHg,,12°C,11kt,210°,12th,AMW/KAMW,2024-03-11 08:53:00,3°C,08:53 UTC,10 SM
29.81 inHg,,13°C,12kt,210°,12th,AMW/KAMW,2024-03-11 08:53:00,2°C,07:53 UTC,10 SM
29.82 inHg,,13°C,10kt,200°,12th,AMW/KAMW,2024-03-11 08:53:00,2°C,06:53 UTC,10 SM
29.83 inHg,,12°C,8kt,200°,12th,AMW/KAMW,2024-03-11 08:53:00,2°C,05:53 UTC,10 SM
29.84 inHg,,13°C,10kt,200°,12th,AMW/KAMW,2024-03-11 08:53:00,1°C,04:53 UTC,10 SM
29.85 inHg,,14°C,9kt,190°,12th,AMW/KAMW,2024-03-11 08:53:00,2°C,03:53 UTC,10 SM
29.84 inHg,,16°C,12kt,190°,12th,AMW/KAMW,2024-03-11 08:53:00,2°C,02:53 UTC,10 SM
29.84 inHg,,15°C,9kt,190°,12th,AMW/KAMW,2024-03-11 08:53:00,1°C,01:53 UTC,10 SM
29.84 inHg,,17°C,8kt,200°,12th,AMW/KAMW,2024-03-11 08:53:00,-1°C,00:53 UTC,10 SM
