Pressure,Temperature,Wind speed,Wind direction,Day,Airport_id,Date,Dew point,Time,Visibility
29.68 inHg,-3°C,0kt,0°,14th,EDF/PAED,2024-03-11 08:55:00,-10°C,07:55 UTC,10 SM
29.69 inHg,-3°C,0kt,0°,14th,EDF/PAED,2024-03-11 08:55:00,-7°C,06:55 UTC,10 SM
29.7 inHg,-3°C,0kt,0°,14th,EDF/PAED,2024-03-11 08:55:00,-7°C,05:55 UTC,10 SM
29.71 inHg,-2°C,4kt,260°,14th,EDF/PAED,2024-03-11 08:55:00,-7°C,04:55 UTC,10 SM
29.72 inHg,0°C,0kt,0°,14th,EDF/PAED,2024-03-11 08:55:00,-4°C,03:55 UTC,10 SM
29.72 inHg,0°C,3kt,260°,14th,EDF/PAED,2024-03-11 08:55:00,-6°C,02:55 UTC,10 SM
29.73 inHg,2°C,3kt,200°,14th,EDF/PAED,2024-03-11 08:55:00,-5°C,01:55 UTC,10 SM
29.75 inHg,2°C,3kt,230°,14th,EDF/PAED,2024-03-11 08:55:00,-6°C,00:55 UTC,10 SM
29.75 inHg,2°C,0kt,0°,13th,EDF/PAED,2024-03-11 08:55:00,-6°C,23:55 UTC,10 SM
29.76 inHg,2°C,0kt,0°,13th,EDF/PAED,2024-03-11 08:55:00,-6°C,22:55 UTC,10 SM
29.76 inHg,0°C,0kt,0°,13th,EDF/PAED,2024-03-11 08:55:00,-6°C,21:55 UTC,10 SM
29.75 inHg,-2°C,0kt,0°,13th,EDF/PAED,2024-03-11 08:55:00,-7°C,20:55 UTC,10 SM
29.74 inHg,-3°C,0kt,0°,13th,EDF/PAED,2024-03-11 08:55:00,-7°C,19:55 UTC,10 SM
29.72 inHg,-3°C,0kt,0°,13th,EDF/PAED,2024-03-11 08:55:00,-8°C,18:55 UTC,10 SM
29.69 inHg,-5°C,0kt,0°,13th,EDF/PAED,2024-03-11 08:55:00,-8°C,17:55 UTC,10 SM
29.66 inHg,-3°C,8kt,260°,13th,EDF/PAED,2024-03-11 08:55:00,-7°C,16:55 UTC,10 SM
29.62 inHg,-3°C,5kt,340°,13th,EDF/PAED,2024-03-11 08:55:00,-7°C,15:55 UTC,10 SM
29.6 inHg,-1°C,8kt,320°,13th,EDF/PAED,2024-03-11 08:55:00,-7°C,14:55 UTC,10 SM
29.57 inHg,-2°C,6kt,300°,13th,EDF/PAED,2024-03-11 08:55:00,-7°C,13:55 UTC,10 SM
29.54 inHg,0°C,8kt,50°,13th,EDF/PAED,2024-03-11 08:55:00,-8°C,12:55 UTC,10 SM
29.53 inHg,0°C,4kt,40°,13th,EDF/PAED,2024-03-11 08:55:00,-8°C,11:55 UTC,10 SM
29.49 inHg,-3°C,3kt,20°,13th,EDF/PAED,2024-03-11 08:55:00,-8°C,10:55 UTC,10 SM
29.46 inHg,0°C,5kt,260°,13th,EDF/PAED,2024-03-11 08:55:00,-9°C,09:55 UTC,10 SM
29.42 inHg,-1°C,0kt,0°,13th,EDF/PAED,2024-03-11 08:55:00,-8°C,08:55 UTC,10 SM
29.38 inHg,-3°C,0kt,0°,13th,EDF/PAED,2024-03-11 08:55:00,-8°C,07:55 UTC,10 SM
29.33 inHg,-2°C,0kt,0°,13th,EDF/PAED,2024-03-11 08:55:00,-7°C,06:55 UTC,10 SM
29.28 inHg,-2°C,0kt,0°,13th,EDF/PAED,2024-03-11 08:55:00,-6°C,05:55 UTC,10 SM
29.23 inHg,0°C,0kt,0°,13th,EDF/PAED,2024-03-11 08:55:00,-6°C,04:55 UTC,10 SM
29.19 inHg,1°C,0kt,0°,13th,EDF/PAED,2024-03-11 08:55:00,-6°C,03:55 UTC,10 SM
29.15 inHg,1°C,3kt,290°,13th,EDF/PAED,2024-03-11 08:55:00,-7°C,02:55 UTC,10 SM
29.12 inHg,,6kt,230°,13th,EDF/PAED,2024-03-11 08:55:00,,01:55 UTC,10 SM
29.09 inHg,1°C,4kt,230°,13th,EDF/PAED,2024-03-11 08:55:00,-7°C,00:55 UTC,10 SM
29.08 inHg,3°C,0kt,0°,12th,EDF/PAED,2024-03-11 08:55:00,-10°C,23:55 UTC,10 SM
29.07 inHg,2°C,3kt,40°,12th,EDF/PAED,2024-03-11 08:55:00,-10°C,22:55 UTC,10 SM
29.07 inHg,0°C,5kt,110°,12th,EDF/PAED,2024-03-11 08:55:00,-9°C,21:55 UTC,10 SM
29.06 inHg,-1°C,5kt,30°,12th,EDF/PAED,2024-03-11 08:55:00,-10°C,20:55 UTC,10 SM
29.07 inHg,-3°C,0kt,0°,12th,EDF/PAED,2024-03-11 08:55:00,-8°C,19:55 UTC,10 SM
29.06 inHg,-8°C,3kt,40°,12th,EDF/PAED,2024-03-11 08:55:00,-11°C,18:55 UTC,10 SM
29.07 inHg,-8°C,5kt,90°,12th,EDF/PAED,2024-03-11 08:55:00,-11°C,17:55 UTC,10 SM
29.06 inHg,-7°C,0kt,0°,12th,EDF/PAED,2024-03-11 08:55:00,-10°C,16:55 UTC,10 SM
29.07 inHg,-6°C,0kt,0°,12th,EDF/PAED,2024-03-11 08:55:00,-10°C,15:55 UTC,10 SM
29.07 inHg,-5°C,0kt,0°,12th,EDF/PAED,2024-03-11 08:55:00,-9°C,14:55 UTC,10 SM
29.08 inHg,-4°C,3kt,20°,12th,EDF/PAED,2024-03-11 08:55:00,-8°C,13:55 UTC,10 SM
29.09 inHg,-6°C,4kt,60°,12th,EDF/PAED,2024-03-11 08:55:00,-9°C,12:55 UTC,10 SM
29.11 inHg,-5°C,4kt,40°,12th,EDF/PAED,2024-03-11 08:55:00,-9°C,11:55 UTC,10 SM
29.12 inHg,-5°C,7kt,10°,12th,EDF/PAED,2024-03-11 08:55:00,-8°C,10:55 UTC,10 SM
29.13 inHg,-5°C,0kt,0°,12th,EDF/PAED,2024-03-11 08:55:00,-9°C,10:12 UTC,10 SM
29.13 inHg,-5°C,0kt,0°,12th,EDF/PAED,2024-03-11 08:55:00,-9°C,09:55 UTC,10 SM
29.14 inHg,-4°C,6kt,20°,12th,EDF/PAED,2024-03-11 08:55:00,-8°C,08:55 UTC,10 SM
29.15 inHg,-4°C,3kt,20°,12th,EDF/PAED,2024-03-11 08:55:00,-8°C,07:55 UTC,10 SM
29.15 inHg,-3°C,4kt,20°,12th,EDF/PAED,2024-03-11 08:55:00,-9°C,06:55 UTC,10 SM
29.15 inHg,-3°C,0kt,0°,12th,EDF/PAED,2024-03-11 08:55:00,-9°C,05:55 UTC,10 SM
29.15 inHg,-3°C,0kt,0°,12th,EDF/PAED,2024-03-11 08:55:00,-10°C,04:55 UTC,10 SM
29.15 inHg,-3°C,0kt,0°,12th,EDF/PAED,2024-03-11 08:55:00,-9°C,03:55 UTC,10 SM
29.16 inHg,-3°C,0kt,0°,12th,EDF/PAED,2024-03-11 08:55:00,-10°C,02:55 UTC,10 SM
29.17 inHg,-3°C,4kt,20°,12th,EDF/PAED,2024-03-11 08:55:00,-11°C,01:55 UTC,10 SM
29.18 inHg,-3°C,5kt,20°,12th,EDF/PAED,2024-03-11 08:55:00,-12°C,00:55 UTC,10 SM
29.19 inHg,-4°C,5kt,10°,11th,EDF/PAED,2024-03-11 08:55:00,-12°C,23:55 UTC,10 SM
29.19 inHg,-4°C,7kt,30°,11th,EDF/PAED,2024-03-11 08:55:00,-12°C,22:55 UTC,10 SM
29.19 inHg,-5°C,7kt,10°,11th,EDF/PAED,2024-03-11 08:55:00,-13°C,21:55 UTC,10 SM
29.2 inHg,-6°C,7kt,10°,11th,EDF/PAED,2024-03-11 08:55:00,-13°C,20:55 UTC,10 SM
29.2 inHg,-7°C,6kt,360°,11th,EDF/PAED,2024-03-11 08:55:00,-12°C,19:55 UTC,10 SM
29.19 inHg,-8°C,8kt,10°,11th,EDF/PAED,2024-03-11 08:55:00,-12°C,18:55 UTC,10 SM
29.18 inHg,-9°C,12kt,10°,11th,EDF/PAED,2024-03-11 08:55:00,-13°C,17:55 UTC,10 SM
29.17 inHg,-9°C,4kt,40°,11th,EDF/PAED,2024-03-11 08:55:00,-13°C,16:55 UTC,10 SM
29.15 inHg,-8°C,10kt,350°,11th,EDF/PAED,2024-03-11 08:55:00,-12°C,15:55 UTC,10 SM
29.11 inHg,-8°C,9kt,340°,11th,EDF/PAED,2024-03-11 08:55:00,-13°C,13:55 UTC,10 SM
