Pressure,Wind gust,Temperature,Wind speed,Wind direction,Day,Airport_id,Date,Dew point,Time,Visibility
30.04 inHg,,8°C,0kt,0°,14th,AND/KAND,2024-03-11 08:56:00,3°C,07:56 UTC,10 SM
30.04 inHg,,9°C,0kt,0°,14th,AND/KAND,2024-03-11 08:56:00,3°C,06:56 UTC,10 SM
30.04 inHg,,11°C,0kt,0°,14th,AND/KAND,2024-03-11 08:56:00,4°C,05:56 UTC,10 SM
30.04 inHg,,13°C,0kt,0°,14th,AND/KAND,2024-03-11 08:56:00,2°C,04:56 UTC,10 SM
30.04 inHg,,13°C,0kt,0°,14th,AND/KAND,2024-03-11 08:56:00,3°C,03:56 UTC,10 SM
30.03 inHg,,14°C,0kt,0°,14th,AND/KAND,2024-03-11 08:56:00,2°C,02:56 UTC,10 SM
30.02 inHg,,16°C,0kt,0°,14th,AND/KAND,2024-03-11 08:56:00,2°C,01:56 UTC,10 SM
30 inHg,,16°C,0kt,0°,14th,AND/KAND,2024-03-11 08:56:00,2°C,00:56 UTC,10 SM
29.99 inHg,,19°C,6kt,220°,13th,AND/KAND,2024-03-11 08:56:00,2°C,23:56 UTC,10 SM
29.98 inHg,,22°C,10kt,220°,13th,AND/KAND,2024-03-11 08:56:00,2°C,22:56 UTC,10 SM
29.97 inHg,,23°C,11kt,230°,13th,AND/KAND,2024-03-11 08:56:00,2°C,21:56 UTC,10 SM
29.97 inHg,,22°C,15kt,220°,13th,AND/KAND,2024-03-11 08:56:00,3°C,20:56 UTC,10 SM
29.97 inHg,,24°C,9kt,240°,13th,AND/KAND,2024-03-11 08:56:00,2°C,19:56 UTC,10 SM
29.98 inHg,17kt,23°C,12kt,220°,13th,AND/KAND,2024-03-11 08:56:00,2°C,18:56 UTC,10 SM
30.01 inHg,,22°C,0kt,0°,13th,AND/KAND,2024-03-11 08:56:00,1°C,17:56 UTC,10 SM
30.04 inHg,,21°C,0kt,0°,13th,AND/KAND,2024-03-11 08:56:00,1°C,16:56 UTC,10 SM
30.04 inHg,,20°C,4kt,,13th,AND/KAND,2024-03-11 08:56:00,2°C,15:56 UTC,10 SM
30.04 inHg,,18°C,3kt,,13th,AND/KAND,2024-03-11 08:56:00,2°C,14:56 UTC,10 SM
30.05 inHg,,13°C,0kt,0°,13th,AND/KAND,2024-03-11 08:56:00,3°C,13:56 UTC,10 SM
30.03 inHg,,9°C,0kt,0°,13th,AND/KAND,2024-03-11 08:56:00,3°C,12:56 UTC,10 SM
30.02 inHg,,6°C,0kt,0°,13th,AND/KAND,2024-03-11 08:56:00,0°C,11:56 UTC,10 SM
30.01 inHg,,5°C,0kt,0°,13th,AND/KAND,2024-03-11 08:56:00,1°C,10:56 UTC,10 SM
30 inHg,,6°C,0kt,0°,13th,AND/KAND,2024-03-11 08:56:00,1°C,09:56 UTC,10 SM
30 inHg,,7°C,0kt,0°,13th,AND/KAND,2024-03-11 08:56:00,1°C,08:56 UTC,10 SM
30.01 inHg,,9°C,0kt,0°,13th,AND/KAND,2024-03-11 08:56:00,-1°C,07:56 UTC,10 SM
30.01 inHg,,8°C,0kt,0°,13th,AND/KAND,2024-03-11 08:56:00,1°C,06:56 UTC,10 SM
30.01 inHg,,11°C,0kt,0°,13th,AND/KAND,2024-03-11 08:56:00,-2°C,05:56 UTC,10 SM
30.01 inHg,,12°C,0kt,0°,13th,AND/KAND,2024-03-11 08:56:00,-2°C,04:56 UTC,10 SM
30.03 inHg,,12°C,4kt,230°,13th,AND/KAND,2024-03-11 08:56:00,-1°C,03:56 UTC,10 SM
30.02 inHg,,12°C,5kt,210°,13th,AND/KAND,2024-03-11 08:56:00,-1°C,02:56 UTC,10 SM
30.02 inHg,,16°C,3kt,220°,13th,AND/KAND,2024-03-11 08:56:00,-3°C,01:56 UTC,10 SM
30.01 inHg,,16°C,5kt,190°,13th,AND/KAND,2024-03-11 08:56:00,-3°C,00:56 UTC,10 SM
30 inHg,,18°C,4kt,200°,12th,AND/KAND,2024-03-11 08:56:00,-4°C,23:56 UTC,10 SM
30 inHg,,21°C,10kt,210°,12th,AND/KAND,2024-03-11 08:56:00,-4°C,22:56 UTC,10 SM
30 inHg,,22°C,9kt,210°,12th,AND/KAND,2024-03-11 08:56:00,-3°C,21:56 UTC,10 SM
30.02 inHg,,22°C,9kt,210°,12th,AND/KAND,2024-03-11 08:56:00,-4°C,20:56 UTC,10 SM
30.04 inHg,,22°C,7kt,270°,12th,AND/KAND,2024-03-11 08:56:00,-4°C,19:56 UTC,10 SM
30.07 inHg,,21°C,10kt,220°,12th,AND/KAND,2024-03-11 08:56:00,-4°C,18:56 UTC,10 SM
30.1 inHg,,21°C,0kt,0°,12th,AND/KAND,2024-03-11 08:56:00,-4°C,17:56 UTC,10 SM
30.14 inHg,,16°C,0kt,0°,12th,AND/KAND,2024-03-11 08:56:00,1°C,15:56 UTC,10 SM
30.15 inHg,,13°C,0kt,0°,12th,AND/KAND,2024-03-11 08:56:00,2°C,14:56 UTC,10 SM
30.15 inHg,,9°C,0kt,0°,12th,AND/KAND,2024-03-11 08:56:00,3°C,13:56 UTC,10 SM
30.15 inHg,,4°C,0kt,0°,12th,AND/KAND,2024-03-11 08:56:00,1°C,12:56 UTC,10 SM
30.15 inHg,,1°C,0kt,0°,12th,AND/KAND,2024-03-11 08:56:00,-2°C,11:56 UTC,10 SM
30.13 inHg,,2°C,0kt,0°,12th,AND/KAND,2024-03-11 08:56:00,-1°C,10:56 UTC,10 SM
30.13 inHg,,3°C,0kt,0°,12th,AND/KAND,2024-03-11 08:56:00,-1°C,09:56 UTC,10 SM
30.12 inHg,,3°C,0kt,0°,12th,AND/KAND,2024-03-11 08:56:00,-1°C,08:56 UTC,10 SM
30.12 inHg,,4°C,0kt,0°,12th,AND/KAND,2024-03-11 08:56:00,-1°C,07:56 UTC,10 SM
30.14 inHg,,6°C,0kt,0°,12th,AND/KAND,2024-03-11 08:56:00,0°C,06:56 UTC,10 SM
30.15 inHg,,7°C,0kt,0°,12th,AND/KAND,2024-03-11 08:56:00,0°C,05:56 UTC,10 SM
30.15 inHg,,8°C,0kt,0°,12th,AND/KAND,2024-03-11 08:56:00,-2°C,04:56 UTC,10 SM
30.16 inHg,,10°C,5kt,210°,12th,AND/KAND,2024-03-11 08:56:00,-2°C,03:56 UTC,10 SM
30.17 inHg,,10°C,3kt,220°,12th,AND/KAND,2024-03-11 08:56:00,-2°C,02:56 UTC,10 SM
30.17 inHg,,11°C,3kt,170°,12th,AND/KAND,2024-03-11 08:56:00,-3°C,01:56 UTC,10 SM
30.17 inHg,,12°C,0kt,0°,12th,AND/KAND,2024-03-11 08:56:00,-3°C,00:56 UTC,10 SM
30.16 inHg,,14°C,6kt,210°,11th,AND/KAND,2024-03-11 08:56:00,-4°C,23:56 UTC,10 SM
30.16 inHg,,17°C,7kt,210°,11th,AND/KAND,2024-03-11 08:56:00,-4°C,22:56 UTC,10 SM
30.16 inHg,,18°C,10kt,230°,11th,AND/KAND,2024-03-11 08:56:00,-6°C,21:56 UTC,10 SM
30.17 inHg,,18°C,4kt,,11th,AND/KAND,2024-03-11 08:56:00,-6°C,20:56 UTC,10 SM
30.2 inHg,,16°C,8kt,290°,11th,AND/KAND,2024-03-11 08:56:00,-6°C,19:56 UTC,10 SM
30.22 inHg,,16°C,7kt,280°,11th,AND/KAND,2024-03-11 08:56:00,-4°C,18:56 UTC,10 SM
30.25 inHg,,15°C,8kt,240°,11th,AND/KAND,2024-03-11 08:56:00,-6°C,17:56 UTC,10 SM
30.26 inHg,,13°C,,,11th,AND/KAND,2024-03-11 08:56:00,-6°C,16:56 UTC,10 SM
30.27 inHg,,12°C,,,11th,AND/KAND,2024-03-11 08:56:00,-6°C,15:56 UTC,10 SM
