Pressure,Wind gust,Temperature,Wind speed,Wind direction,Day,Airport_id,Date,Dew point,Time,Visibility
29.88 inHg,,12°C,4kt,,14th,ANQ/KANQ,2024-03-11 08:55:00,11°C,08:15 UTC,10 SM
29.89 inHg,,13°C,7kt,350°,14th,ANQ/KANQ,2024-03-11 08:55:00,10°C,07:55 UTC,8 SM
29.89 inHg,,13°C,4kt,220°,14th,ANQ/KANQ,2024-03-11 08:55:00,8°C,07:15 UTC,9 SM
29.89 inHg,,11°C,0kt,0°,14th,ANQ/KANQ,2024-03-11 08:55:00,7°C,05:55 UTC,10 SM
29.9 inHg,,12°C,0kt,0°,14th,ANQ/KANQ,2024-03-11 08:55:00,9°C,05:15 UTC,10 SM
29.91 inHg,,12°C,0kt,0°,14th,ANQ/KANQ,2024-03-11 08:55:00,8°C,04:55 UTC,10 SM
29.91 inHg,,11°C,0kt,0°,14th,ANQ/KANQ,2024-03-11 08:55:00,8°C,04:15 UTC,10 SM
29.91 inHg,,12°C,0kt,0°,14th,ANQ/KANQ,2024-03-11 08:55:00,7°C,03:55 UTC,10 SM
29.91 inHg,,13°C,0kt,0°,14th,ANQ/KANQ,2024-03-11 08:55:00,7°C,03:15 UTC,10 SM
29.91 inHg,,13°C,0kt,0°,14th,ANQ/KANQ,2024-03-11 08:55:00,8°C,02:55 UTC,10 SM
29.91 inHg,,12°C,0kt,0°,14th,ANQ/KANQ,2024-03-11 08:55:00,8°C,02:15 UTC,10 SM
29.91 inHg,,13°C,0kt,0°,14th,ANQ/KANQ,2024-03-11 08:55:00,8°C,01:55 UTC,10 SM
29.9 inHg,,13°C,0kt,0°,14th,ANQ/KANQ,2024-03-11 08:55:00,7°C,01:15 UTC,10 SM
29.9 inHg,,13°C,0kt,0°,14th,ANQ/KANQ,2024-03-11 08:55:00,8°C,00:55 UTC,10 SM
29.89 inHg,,14°C,0kt,0°,14th,ANQ/KANQ,2024-03-11 08:55:00,7°C,00:15 UTC,10 SM
29.89 inHg,,15°C,0kt,0°,13th,ANQ/KANQ,2024-03-11 08:55:00,7°C,23:55 UTC,10 SM
29.88 inHg,,20°C,0kt,0°,13th,ANQ/KANQ,2024-03-11 08:55:00,6°C,23:15 UTC,10 SM
29.88 inHg,,21°C,0kt,0°,13th,ANQ/KANQ,2024-03-11 08:55:00,7°C,22:55 UTC,7 SM
29.87 inHg,,21°C,5kt,170°,13th,ANQ/KANQ,2024-03-11 08:55:00,6°C,22:15 UTC,10 SM
29.87 inHg,,21°C,7kt,200°,13th,ANQ/KANQ,2024-03-11 08:55:00,7°C,21:55 UTC,10 SM
