Pressure,Wind gust,Temperature,Wind speed,Wind direction,Day,Airport_id,Date,Dew point,Time,Visibility
30.02 inHg,,-14°C,3kt,,14th,ANI/PANI,2024-03-11 08:56:00,-20°C,07:56 UTC,10 SM
30.01 inHg,,-14°C,6kt,20°,14th,ANI/PANI,2024-03-11 08:56:00,-19°C,06:56 UTC,10 SM
30 inHg,,-14°C,6kt,20°,14th,ANI/PANI,2024-03-11 08:56:00,-19°C,05:56 UTC,10 SM
29.99 inHg,,-15°C,6kt,,14th,ANI/PANI,2024-03-11 08:56:00,-20°C,04:56 UTC,10 SM
29.98 inHg,,-14°C,6kt,,14th,ANI/PANI,2024-03-11 08:56:00,-19°C,03:56 UTC,10 SM
29.97 inHg,,-13°C,5kt,,14th,ANI/PANI,2024-03-11 08:56:00,-19°C,02:56 UTC,10 SM
29.96 inHg,,-13°C,5kt,,14th,ANI/PANI,2024-03-11 08:56:00,-18°C,01:56 UTC,10 SM
29.95 inHg,,-12°C,7kt,360°,14th,ANI/PANI,2024-03-11 08:56:00,-18°C,00:43 UTC,5 SM
29.95 inHg,,-12°C,5kt,,14th,ANI/PANI,2024-03-11 08:56:00,-17°C,00:18 UTC,5 SM
29.96 inHg,,-13°C,5kt,,13th,ANI/PANI,2024-03-11 08:56:00,-18°C,23:56 UTC,4 SM
29.96 inHg,,-13°C,5kt,,13th,ANI/PANI,2024-03-11 08:56:00,-20°C,22:56 UTC,10 SM
29.96 inHg,,-14°C,5kt,350°,13th,ANI/PANI,2024-03-11 08:56:00,-21°C,21:56 UTC,10 SM
29.95 inHg,,-15°C,4kt,350°,13th,ANI/PANI,2024-03-11 08:56:00,-21°C,20:56 UTC,10 SM
29.94 inHg,,-17°C,3kt,,13th,ANI/PANI,2024-03-11 08:56:00,-22°C,19:56 UTC,10 SM
29.93 inHg,,-18°C,4kt,,13th,ANI/PANI,2024-03-11 08:56:00,-23°C,18:56 UTC,10 SM
29.92 inHg,,-18°C,5kt,,13th,ANI/PANI,2024-03-11 08:56:00,-23°C,17:56 UTC,10 SM
29.9 inHg,,-18°C,3kt,330°,13th,ANI/PANI,2024-03-11 08:56:00,-23°C,16:56 UTC,10 SM
